set_number,combine objective,solar objective,wind objective,ratio
1,304.411,37.35,139.306,1.72
2,301.488,39.314,185.376,1.34
3,383.372,38.563,290.451,1.17
4,299.826,35.266,189.65,1.33
5,313.206,36.767,207.004,1.28
6,387.782,37.327,261.027,1.3
7,216.034,39.506,107.839,1.47
8,270.114,35.267,172.054,1.3
9,317.096,31.515,211.534,1.3
10,323.132,34.68,211.896,1.31
