set_number,combine objective,solar objective,wind objective,ratio
1,74.04,44.44,12.86,1.29
2,75.107,46.856,11.883,1.28
3,77.253,43.592,12.403,1.38
4,72.461,45.644,11.844,1.26
5,70.034,44.443,11.769,1.25
6,81.647,46.841,12.146,1.38
7,76.975,45.255,12.639,1.33
8,66.737,43.86,11.951,1.2
9,72.833,45.519,11.708,1.27
10,76.485,46.408,12.21,1.3
