set_number,combine objective,solar objective,wind objective,ratio
1,75.778,4.019,64.719,1.1
2,76.29,3.931,67.412,1.07
3,78.388,4.098,67.259,1.1
4,82.246,3.816,73.433,1.06
5,73.23,3.823,63.139,1.09
6,72.402,3.988,63.234,1.08
7,74.879,3.955,63.685,1.11
8,67.042,3.878,58.249,1.08
9,78.009,3.897,67.585,1.09
10,89.132,4.053,79.094,1.07
