set_number,combine objective,solar objective,wind objective,ratio
1,52.41,0.285,51.726,1.01
2,47.725,0.254,47.112,1.01
3,44.773,0.288,44.19,1.01
4,46.709,0.276,46.109,1.01
5,51.325,0.296,50.642,1.01
6,48.172,0.28,47.582,1.01
7,33.528,0.268,33.121,1.0
8,45.341,0.279,44.848,1.0
9,47.878,0.263,47.221,1.01
10,49.503,0.281,48.957,1.01
