set_number,combine objective,solar objective,wind objective,ratio
1,4185.982,1370.716,1503.182,1.46
2,5676.389,1374.302,2847.076,1.34
3,5460.49,1399.418,2786.714,1.3
4,5513.543,1261.37,3009.443,1.29
5,5365.636,1403.137,2938.124,1.24
6,5975.547,1374.925,3668.825,1.18
7,5795.514,1386.632,2936.825,1.34
8,5753.081,1469.185,2881.472,1.32
9,5225.729,1420.544,2454.751,1.35
10,5588.019,1359.677,3099.946,1.25
