set_number,combine objective,solar objective,wind objective,ratio
1,127.945,3.991,116.615,1.06
2,116.882,3.716,106.829,1.06
3,123.913,3.877,112.016,1.07
4,124.038,3.935,111.636,1.07
5,120.29,3.57,109.359,1.07
6,115.023,3.842,105.042,1.06
7,115.299,3.787,104.468,1.07
8,114.732,3.853,104.925,1.05
9,116.353,3.652,105.95,1.06
10,113.582,3.887,101.748,1.08
