set_number,combine objective,solar objective,wind objective,ratio
1,255.027,165.954,38.235,1.25
2,285.364,164.59,78.2,1.18
3,269.915,159.611,50.804,1.28
4,268.599,167.345,47.751,1.25
5,319.291,165.285,106.419,1.18
6,281.195,170.151,43.615,1.32
7,277.26,161.365,45.939,1.34
8,308.045,163.1,90.934,1.21
9,281.109,168.984,72.243,1.17
10,265.495,165.471,57.884,1.19
