set_number,combine objective,solar objective,wind objective,ratio
1,102.098,0.04,102.03,1.0
2,118.375,0.04,118.29,1.0
3,85.223,0.039,85.149,1.0
4,93.489,0.04,93.419,1.0
5,97.743,0.04,97.662,1.0
6,62.618,0.041,62.525,1.0
7,108.99,0.041,108.906,1.0
8,99.017,0.042,98.937,1.0
9,104.241,0.04,104.161,1.0
10,97.347,0.039,97.27,1.0
