set_number,combine objective,solar objective,wind objective,ratio
1,1502.623,1183.929,138.824,1.14
2,1565.073,1203.487,149.498,1.16
3,1571.585,1212.542,145.486,1.16
4,1560.695,1187.705,148.656,1.17
5,1512.845,1215.869,140.013,1.12
6,1553.172,1244.058,144.919,1.12
7,1562.195,1216.566,141.496,1.15
8,1528.339,1197.937,145.166,1.14
9,1494.797,1207.993,137.516,1.11
10,1559.756,1219.84,148.571,1.14
