set_number,combine objective,solar objective,wind objective,ratio
1,1.2,0.067,1.056,1.07
2,1.406,0.065,1.181,1.13
3,1.217,0.062,1.056,1.09
4,1.203,0.065,1.08,1.05
5,1.196,0.058,1.027,1.1
6,1.322,0.06,1.142,1.1
7,1.357,0.063,1.146,1.12
8,1.169,0.061,1.029,1.07
9,1.223,0.058,1.098,1.06
10,1.185,0.059,1.043,1.08
