set_number,combine objective,solar objective,wind objective,ratio
1,14.194,2.482,9.678,1.17
2,14.046,2.613,8.435,1.27
3,14.368,2.77,9.45,1.18
4,18.546,2.64,12.872,1.2
5,16.755,2.749,12.025,1.13
6,18.24,2.764,14.183,1.08
7,16.138,2.663,11.185,1.17
8,13.272,2.637,6.962,1.38
9,16.044,2.709,11.282,1.15
10,13.605,2.696,9.137,1.15
