set_number,combine objective,solar objective,wind objective,ratio
1,12.673,12.366,0.054,1.02
2,12.667,12.417,0.054,1.02
3,12.9,12.693,0.052,1.01
4,13.688,13.424,0.054,1.02
5,11.841,11.581,0.053,1.02
6,13.136,12.755,0.054,1.03
7,12.994,12.724,0.052,1.02
8,12.097,11.833,0.05,1.02
9,12.484,12.288,0.051,1.01
10,13.17,12.915,0.053,1.02
