set_number,combine objective,solar objective,wind objective,ratio
1,11.974,1.824,9.09,1.1
2,12.14,1.823,9.437,1.08
3,10.278,1.899,6.744,1.19
4,15.333,1.736,12.251,1.1
5,12.016,1.854,9.023,1.1
6,13.136,1.862,9.964,1.11
7,13.014,1.861,10.157,1.08
8,10.936,1.842,7.214,1.21
9,9.676,1.883,6.074,1.22
10,10.649,1.854,7.197,1.18
