set_number,combine objective,solar objective,wind objective,ratio
1,180.672,42.819,114.974,1.14
2,178.569,44.92,102.684,1.21
3,171.117,43.002,100.805,1.19
4,147.47,45.481,69.231,1.29
5,159.166,44.185,85.562,1.23
6,171.153,45.478,97.066,1.2
7,151.292,44.82,89.607,1.13
8,152.679,44.836,80.67,1.22
9,176.463,43.876,107.098,1.17
10,172.986,45.568,102.556,1.17
