set_number,combine objective,solar objective,wind objective,ratio
1,11.821,0.225,11.329,1.02
2,10.503,0.239,10.0,1.03
3,12.606,0.224,12.005,1.03
4,9.842,0.247,9.335,1.03
5,10.905,0.221,10.403,1.03
6,12.003,0.225,11.588,1.02
7,10.845,0.229,10.486,1.01
8,13.264,0.234,12.779,1.02
9,10.034,0.227,9.555,1.03
10,8.854,0.223,8.29,1.04
