set_number,combine objective,solar objective,wind objective,ratio
1,148.689,1.301,145.359,1.01
2,136.223,1.361,132.326,1.02
3,100.642,1.365,97.56,1.02
4,168.447,1.342,163.527,1.02
5,136.825,1.334,133.287,1.02
6,135.477,1.294,131.325,1.02
7,166.998,1.383,161.995,1.02
8,185.538,1.363,179.728,1.02
9,205.409,1.301,200.767,1.02
10,138.681,1.36,135.157,1.02
