set_number,combine objective,solar objective,wind objective,ratio
1,1.395,0.073,1.174,1.12
2,1.428,0.076,1.256,1.07
3,1.425,0.078,1.227,1.09
4,1.362,0.077,1.186,1.08
5,1.39,0.074,1.182,1.11
6,1.366,0.076,1.194,1.08
7,1.536,0.078,1.382,1.05
8,1.372,0.075,1.178,1.09
9,1.597,0.077,1.4,1.08
10,1.283,0.075,1.113,1.08
