set_number,combine objective,solar objective,wind objective,ratio
1,228.688,46.985,169.585,1.06
2,173.661,47.87,97.829,1.19
3,188.453,48.273,115.888,1.15
4,178.012,46.422,106.436,1.16
5,199.501,45.874,134.39,1.11
6,180.174,47.891,110.201,1.14
7,184.657,47.776,100.904,1.24
8,180.123,47.55,115.744,1.1
9,160.407,48.075,92.553,1.14
10,166.641,47.54,92.282,1.19
