set_number,combine objective,solar objective,wind objective,ratio
1,1328.414,619.513,461.093,1.23
2,1335.614,617.294,477.709,1.22
3,1274.985,582.687,470.106,1.21
4,1372.526,618.373,501.684,1.23
5,1324.713,625.377,467.324,1.21
6,1206.035,612.925,438.485,1.15
7,1241.437,590.994,437.879,1.21
8,1341.795,598.189,483.229,1.24
9,1319.625,612.296,459.315,1.23
10,1259.968,605.241,448.767,1.2
