set_number,combine objective,solar objective,wind objective,ratio
1,6.801,3.255,1.171,1.54
2,6.349,3.122,1.111,1.5
3,6.152,3.3,1.07,1.41
4,5.842,3.49,1.142,1.26
5,6.236,3.32,1.068,1.42
6,6.341,3.006,1.332,1.46
7,6.575,2.932,1.173,1.6
8,6.915,3.548,1.176,1.46
9,7.7,3.296,1.293,1.68
10,7.264,3.245,1.165,1.65
