set_number,combine objective,solar objective,wind objective,ratio
1,6.44,0.149,5.847,1.07
2,6.477,0.168,5.844,1.08
3,6.865,0.16,6.238,1.07
4,6.486,0.154,5.978,1.06
5,10.814,0.165,10.409,1.02
6,8.907,0.154,8.417,1.04
7,6.669,0.151,6.086,1.07
8,8.23,0.154,7.7,1.05
9,6.167,0.157,5.776,1.04
10,6.741,0.15,6.147,1.07
