set_number,combine objective,solar objective,wind objective,ratio
1,133.38,112.94,5.687,1.12
2,134.597,108.927,9.734,1.13
3,131.542,109.212,6.632,1.14
4,127.368,106.797,5.246,1.14
5,133.264,107.784,5.885,1.17
6,134.127,108.133,10.005,1.14
7,128.52,109.977,5.516,1.11
8,129.916,105.607,6.587,1.16
9,129.224,104.758,5.74,1.17
10,129.301,106.11,8.11,1.13
