set_number,combine objective,solar objective,wind objective,ratio
1,6.439,1.189,3.546,1.36
2,6.085,1.142,3.332,1.36
3,6.18,1.242,3.328,1.35
4,5.871,1.258,3.126,1.34
5,6.196,1.282,3.331,1.34
6,6.503,1.379,3.246,1.41
7,6.561,1.378,3.429,1.36
8,6.141,1.306,3.322,1.33
9,6.712,1.419,3.595,1.34
10,6.319,1.337,3.314,1.36
