set_number,combine objective,solar objective,wind objective,ratio
1,81.005,19.123,49.528,1.18
2,75.199,19.611,41.418,1.23
3,81.454,19.813,47.686,1.21
4,78.061,18.806,49.166,1.15
5,80.358,18.353,48.523,1.2
6,79.739,19.731,47.606,1.18
7,68.538,18.894,27.234,1.49
8,76.203,19.256,45.009,1.19
9,82.681,19.815,49.105,1.2
10,82.467,20.485,49.171,1.18
