set_number,combine objective,solar objective,wind objective,ratio
1,8.189,0.177,7.711,1.04
2,7.405,0.172,6.945,1.04
3,6.561,0.165,6.258,1.02
4,6.661,0.17,6.279,1.03
5,4.749,0.165,4.133,1.1
6,7.682,0.164,7.369,1.02
7,7.073,0.155,6.551,1.05
8,5.588,0.164,5.121,1.06
9,5.817,0.166,5.084,1.11
10,6.464,0.16,6.049,1.04
