set_number,combine objective,solar objective,wind objective,ratio
1,33.717,0.428,32.991,1.01
2,25.985,0.447,25.135,1.02
3,31.81,0.43,31.003,1.01
4,26.903,0.432,26.057,1.02
5,22.664,0.45,21.769,1.02
6,26.081,0.434,25.236,1.02
7,28.597,0.422,27.914,1.01
8,32.842,0.439,31.954,1.01
9,24.125,0.436,23.212,1.02
10,27.049,0.442,26.233,1.01
