set_number,combine objective,solar objective,wind objective,ratio
1,1319.61,766.169,324.017,1.21
2,1349.263,768.375,453.208,1.1
3,1355.582,743.784,385.375,1.2
4,1473.931,776.996,555.428,1.11
5,1424.703,758.66,463.963,1.17
6,1319.039,756.844,310.155,1.24
7,1435.052,757.995,519.928,1.12
8,1377.25,768.842,351.234,1.23
9,1335.436,761.261,358.843,1.19
10,1341.926,772.425,328.203,1.22
