set_number,combine objective,solar objective,wind objective,ratio
1,280.945,172.673,23.73,1.43
2,254.442,147.244,22.896,1.5
3,259.171,162.153,23.703,1.39
4,270.384,157.627,28.265,1.45
5,269.46,162.056,23.431,1.45
6,278.136,159.73,46.77,1.35
7,271.428,156.738,32.103,1.44
8,288.061,163.227,31.224,1.48
9,258.083,166.436,25.235,1.35
10,253.608,158.898,24.287,1.38
