set_number,combine objective,solar objective,wind objective,ratio
1,787.244,473.594,131.265,1.3
2,809.566,477.371,181.33,1.23
3,788.444,477.927,114.993,1.33
4,816.305,475.844,112.427,1.39
5,811.933,471.233,144.469,1.32
6,833.857,478.582,179.435,1.27
7,782.396,475.973,121.293,1.31
8,805.257,468.645,123.824,1.36
9,771.374,482.97,112.255,1.3
10,855.827,493.081,192.277,1.25
