set_number,combine objective,solar objective,wind objective,ratio
1,41.224,37.158,0.638,1.09
2,42.87,37.076,0.682,1.14
3,41.191,36.701,0.641,1.1
4,40.472,35.879,0.876,1.1
5,42.041,38.024,0.64,1.09
6,40.884,36.765,0.626,1.09
7,40.049,36.994,0.587,1.07
8,40.575,35.765,0.58,1.12
9,43.721,39.604,0.691,1.09
10,40.562,35.285,0.687,1.13
