set_number,combine objective,solar objective,wind objective,ratio
1,1.026,0.06,0.829,1.15
2,1.518,0.061,1.408,1.03
3,1.187,0.058,1.06,1.06
4,1.381,0.059,1.25,1.05
5,1.145,0.055,0.992,1.09
6,1.472,0.058,1.335,1.06
7,1.52,0.058,1.4,1.04
8,0.965,0.059,0.806,1.12
9,0.979,0.056,0.817,1.12
10,1.174,0.056,0.999,1.11
