hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0139203233317104,10.58568383883993,4.3281888133020665,3.236897219043583,0.5456859414195669,5.953771225316391,5.239015081146253,4.015356974185256,2.7866312848105985,16.251761705269814,0.0,18.51958167436485,6.755023973358375,5.263032183636852,9.138393085800258,4.637883589985609,0.0,14.683399264357679,0.0,9.452269345922605,0.0,4.8594261252352835,6.305578661562556,4.828727054227485,2.9083706609422952,12.90135905883203,5.673245382480311,4.989863685913724,0.0,5.197793323937367,0.0,6.624730104972203,4.623609159544595,0.0,0.0,11.15219144336768,0.9117619328201974,16.67778127176572,16.76707771856301,0.0,11.30712244001424,5.927521019548703,6.265182075566201,0.0,6.875798952340307,5.894072246841613,1.2903523142450002,9.630367477610507,12.38514028703245,0.0,0.6821564949836789,0.768079295457115,0.0,4.528751888538823,7.597426664928076,0.8045333136190642,3.6045961511176627,2.524190772694057,17.16251174368079,2.524296865080916,9.445189048194889,7.5824580668192745,6.637352539143314,2.84345046620898,7.66339643261165,0.0,9.075734029712894,7.637175906432013,13.049177597868903,8.068205500720193,0.0,16.848087878603444,0.0,5.6573243455763365,1.4244450655735301,11.958758600751185,3.8457772594622908,6.204669789225934,7.621416658888234,8.170655630832623,0.0,7.436315721606618,10.429573235041492,13.1839498821301,2.779853886433426,8.235785055342014,9.295156924056071,0.0,10.68719011755918,0.6675229046632847,1.8414999636500076,7.627121624995294,12.832432462592728,21.298544772699863,0.8019818861980825,5.133229269658827,0.9480612338153005,0.0,2.274630634857106,6.1553259929517505
6,62.09592538147163,15.377579634440078,60.092893472948106,34.51203673928321,59.96043489108797,35.88332761684955,36.930589459800636,34.97555924346196,30.76086699024023,39.46280365285967,28.152349182040773,62.69468996344997,29.95469037637836,36.76528864733164,12.471022510338518,35.894457149018294,48.1038332242501,26.406875489184145,33.8697335102699,10.021606608059475,57.53771903869267,38.967754666449395,55.096787453089945,0.0,0.0,19.750572229627018,43.621517605221484,87.64432811482149,18.625762222007808,32.153679822717564,33.79976115321014,45.75158573865133,28.925841662784652,39.957534829361606,50.036487104330504,24.274641893625173,19.99171107160123,24.387995765139447,44.557586194629145,56.29015293810393,86.84583703392224,71.1002396199218,76.42456897040168,0.0,64.85432199035392,71.52024743316531,45.62905361597099,64.75682893285064,58.99550973877378,22.376219909588258,21.576742931809036,26.179447450366908,54.45531896365344,23.41900446272478,61.79566552575666,49.20087298834563,0.472500466450434,52.35210326459348,37.23870522654078,41.59959881115895,68.15664278953334,52.372808565858676,25.437786511968028,53.00343031067127,72.73132411418364,45.11794526300543,36.133897561234456,17.783900583735583,24.850947234590908,18.58056783485938,15.077282713859326,40.019600129063406,45.81347054296288,10.120626197850871,77.05198750106157,77.88200892230992,16.87748651742247,49.1190614525615,9.097624223306795,28.921376319168665,59.598806242515934,55.20135048842455,58.79228563274543,40.762431119665685,27.968973436695727,45.763721302625385,66.31297277832198,75.06252634277448,27.87796110406483,16.502953795984826,23.253463495849143,84.71538634634996,17.52450160936386,63.58453799989364,68.02881553277612,63.63604698457995,26.566311878739775,36.48875807298738,57.20504044380017,47.799697532374935
7,86.39847998172624,140.27646363778945,109.54996839233203,92.40609471575388,49.15577640465365,149.7964851126997,87.85266589118648,55.35175297515761,0.0,119.36502084071981,0.0,92.46810849044043,135.90211485029434,97.56475397124854,73.77526384534133,41.099291107271696,103.92784089375215,49.16026673770339,23.703681717835252,63.16703456275856,96.3896573283465,36.675079767559836,248.19216185239154,87.52039947570674,33.542751170315825,117.61714029433305,34.69098381750457,96.04648522095101,40.51711632325998,17.86574349065254,45.77417516060454,70.02469506628948,188.55916030778593,183.8780702966148,39.068673350449686,44.93360359990417,52.81493333781593,57.60345953970376,45.18866635710717,148.6454517782123,0.0,112.20025313807812,145.27090486898908,14.710608657480066,7.707599897061797,101.56965130685376,17.95831077671773,0.0,79.00234797445322,151.51871917586163,16.533011397482106,242.13692721084243,106.05322667488907,177.8980977616288,106.37626318127337,96.87907014002255,30.13979557279167,167.81660422103386,124.85561797632599,131.04291605782038,51.451063419807916,0.0,90.64067087678606,79.48060706360374,0.0,0.0,163.0121305615871,174.39783071492624,111.66642617285953,61.59574999307882,14.37404841378094,120.59216069250813,43.57240084640742,0.0,40.32827463975054,0.0,55.117852853375254,87.18504127639781,82.12081282669352,35.103529644744114,70.50724684043409,69.15806808005705,131.82510048791022,45.28525873592685,50.272416782357055,136.48703737087047,86.9158902044745,81.16038812687248,29.42088454853662,117.07240091748015,81.02214947744933,83.22070352811897,175.26431776249166,1.6901817231793217,105.76821143625114,55.60852201902168,50.94567820454213,93.84442297119281,220.6001445208745,51.35713575349699
8,88.1026725969729,74.44340252768359,69.10268937527553,180.95849970695448,116.27250207352509,227.16883013473057,68.28842830832518,40.99143161451181,130.79298898543294,146.28033297692642,106.59955373446329,218.103352298125,80.82041255864289,155.4461103920089,107.1958454710192,107.2242691918449,145.8228540894632,270.7005281730717,66.90802967700537,9.229194869405163,88.22114813967787,96.75704069636848,101.14885578044917,66.7136913880808,96.1627794959358,157.85350246444966,187.8792821139259,204.02079987867074,81.12056770122256,134.5056869743951,72.55595578969934,98.54431708024308,121.45411324682355,38.553709024863664,88.15335697824743,98.58316109213236,153.2927835367812,191.85864711851855,225.00924639064698,200.5016777659317,16.05613198711896,105.7499943621845,24.62937405450404,189.5482695674309,138.6606275179611,72.20519737597682,174.77234195154418,153.94756384724084,250.46068926111474,129.82872209092602,63.93721993497019,63.192097877159384,172.99367254233982,117.52082640739991,93.11813444181908,80.643646578046,85.65878541878787,78.26195227249127,111.19370417794164,134.48199551917776,127.2925507452237,104.56876129004965,41.85939535050285,29.91092043973238,161.45561502187684,106.97145580307341,76.61398037258996,0.0,97.95269923753804,137.6509579265419,33.87305864904633,59.53913737412644,202.9445379938115,151.89552718269627,182.6468473905909,60.61487407604709,61.871373646906626,100.72366512893902,157.96671282889625,129.78905523348388,50.22901656275302,73.43994660241208,92.10257745991555,216.84102665770888,116.93707302887417,127.68507446123974,32.29551470110104,80.1511694156941,179.90092727072943,9.995801286183621,141.38729384250138,149.09110709280048,228.42222512083248,215.86243506275116,121.46679173853282,68.01588439839097,110.47601154301427,92.81321636827515,150.99508896054715,194.52216774424875
9,84.77552313190338,106.63805982811041,230.18274383793118,75.18177562569478,75.96406738901855,269.0288399849584,99.83620147301801,133.96332129910888,63.86067260938158,115.69182324243705,168.21462935385426,239.36497483620803,272.344883403919,252.2915113466553,18.55241136984212,107.7292404018736,101.15097117365903,81.19053272218233,171.07779475300185,218.21318219957163,115.6467291716399,46.43957781967278,230.13516803611458,68.13985547330992,84.99750164070642,132.43335626567935,87.13878378696805,88.68720847238855,149.44730236382824,84.71464885767477,160.79144607858393,169.43630113549685,201.5097133073012,160.17650672514387,294.4242399989814,152.2172612276799,194.78291323903926,134.49618341654588,284.05241016544863,110.08433119836798,194.33378721202448,91.34614165897976,89.16329647643443,192.5270656892229,43.29896330730412,76.49038607890297,0.05957722087816819,343.2773988579864,155.3511237768143,135.71061223858942,173.5036793116644,89.53737209093987,28.53416435495157,222.73586840789437,201.34734135921218,166.5172536777126,232.91478082467142,180.6830978096861,212.58823674432148,96.59521502515133,263.7603620119012,196.10749430774172,102.30186640799792,147.13525814034173,220.20384875356356,185.41752395648118,71.62792627663791,179.9558167713379,201.83400314211426,0.0,69.19941496598618,158.50638125518776,154.28607857804124,218.56096446633927,176.42385933224162,266.07244039475273,150.09380013141876,214.2980647765843,98.67451045264346,242.50101411619906,117.36400913850379,214.10039444001643,74.49989081557935,99.02019933479451,192.45927880900746,139.9439339303873,224.44887800541989,55.38666044878775,78.00968954663061,154.58937436602096,24.694387672500298,46.94215434063041,86.16933342763863,75.29373015607935,213.897670624718,128.17382849642647,133.09343136565317,163.26181176265666,205.57682420873982,241.4473491217093
