country,hour,p,d,q,bic,notes
EE,3,0,0,0,,Zero-production rule applied
EE,4,0,0,0,,Zero-production rule applied
EE,5,0,1,2,4.64935029202481,Passes Ljung-Box
EE,6,0,1,1,414.6537096669972,Passes Ljung-Box
EE,7,1,0,1,621.3837462373076,Passes Ljung-Box
EE,8,1,0,1,719.9684321858816,Passes Ljung-Box
EE,9,1,0,1,768.171068525988,Passes Ljung-Box
EE,10,1,0,1,797.8409184243986,Passes Ljung-Box
EE,11,1,0,1,785.9881894754304,Passes Ljung-Box
EE,12,1,0,1,735.7837079818504,Passes Ljung-Box
EE,13,1,0,1,641.7228694179057,Passes Ljung-Box
EE,14,1,0,1,461.4610557146531,Passes Ljung-Box
EE,15,0,1,1,79.3336396772086,Passes Ljung-Box
EE,16,0,1,1,-637.3480096548855,Passes Ljung-Box
EE,17,0,0,0,,Zero-production rule applied
EE,18,0,0,0,,Zero-production rule applied
EL,4,0,0,0,,Zero-production rule applied
EL,5,1,1,1,2733.373752340006,Passes Ljung-Box
EL,6,1,1,1,3306.3072832119597,Passes Ljung-Box
EL,7,1,1,1,3585.7652787585926,Passes Ljung-Box
EL,8,1,1,1,3724.5075795564253,Passes Ljung-Box
EL,9,1,1,1,3793.778503234459,Passes Ljung-Box
EL,10,1,1,1,3846.0124453441986,Passes Ljung-Box
EL,11,1,1,1,3844.547138635309,Passes Ljung-Box
EL,12,1,1,1,3798.3128411925854,Passes Ljung-Box
EL,13,1,1,1,3721.392516469742,Passes Ljung-Box
EL,14,1,1,1,3526.727806735771,Passes Ljung-Box
EL,15,1,1,1,3097.864238373581,Passes Ljung-Box
EL,16,0,2,4,2059.515014254469,Passes Ljung-Box
EL,17,0,0,0,,Zero-production rule applied
ES,5,0,0,0,,Zero-production rule applied
ES,6,0,2,2,2460.7433447104313,Passes Ljung-Box
ES,7,0,1,2,3416.0443289688533,Passes Ljung-Box
ES,8,0,1,2,3826.0868440097847,Passes Ljung-Box
ES,9,2,0,1,4111.563937960663,Passes Ljung-Box
ES,10,1,0,0,4194.778688655004,Passes Ljung-Box
ES,11,1,0,0,4222.793943145434,Passes Ljung-Box
ES,12,1,0,0,4235.858046927299,Passes Ljung-Box
ES,13,1,0,0,4238.605968150209,Passes Ljung-Box
ES,14,1,0,0,4224.211070005337,Passes Ljung-Box
ES,15,1,0,0,4149.445626478576,Passes Ljung-Box
ES,16,1,0,2,3955.8894717233525,Passes Ljung-Box
ES,17,0,1,2,3509.2046033091992,Passes Ljung-Box
ES,18,0,0,0,,Zero-production rule applied
ES,19,0,0,0,,Zero-production rule applied
FI,3,0,0,0,,Zero-production rule applied
FI,4,2,1,4,-699.5041055917427,Passes Ljung-Box
FI,5,0,1,1,140.98291293458183,Passes Ljung-Box
FI,6,0,1,1,558.4514362455304,Passes Ljung-Box
FI,7,1,0,1,774.6544071051846,Passes Ljung-Box
FI,8,1,0,1,872.4092947743325,Passes Ljung-Box
FI,9,1,0,1,920.378860304676,Passes Ljung-Box
FI,10,1,0,1,922.1040612880132,Passes Ljung-Box
FI,11,1,0,1,906.4498017667771,Passes Ljung-Box
FI,12,1,0,1,869.195676878799,Passes Ljung-Box
FI,13,1,0,1,779.9151011679337,Passes Ljung-Box
FI,14,1,0,1,597.2277996724532,Passes Ljung-Box
FI,15,0,1,1,253.2732016438979,Passes Ljung-Box
FI,16,0,1,2,-357.2193201177677,Passes Ljung-Box
FI,17,0,0,0,,Zero-production rule applied
