country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,3.4918,2.7256,4.258,"(2.7256, 4.2580)"
BE,10,3.1003,2.5493,3.6513,"(2.5493, 3.6513)"
BG,10,2.1722,1.8879,2.4565,"(1.8879, 2.4565)"
CH,10,1.2771,1.1563,1.398,"(1.1563, 1.3980)"
CZ,10,1.5933,1.3583,1.8283,"(1.3583, 1.8283)"
DE,10,2.0233,1.7697,2.2768,"(1.7697, 2.2768)"
DK,10,3.2363,2.7143,3.7584,"(2.7143, 3.7584)"
EE,10,8.0986,4.5418,11.6555,"(4.5418, 11.6555)"
EL,10,1.3501,1.3069,1.3932,"(1.3069, 1.3932)"
ES,10,1.3858,1.3216,1.45,"(1.3216, 1.4500)"
FI,10,17.8906,0.6553,35.1259,"(0.6553, 35.1259)"
FR,10,1.7846,1.6548,1.9144,"(1.6548, 1.9144)"
HR,10,4.553,3.5726,5.5334,"(3.5726, 5.5334)"
HU,10,2.8838,2.5037,3.2638,"(2.5037, 3.2638)"
IE,10,3.1803,1.0658,5.2948,"(1.0658, 5.2948)"
IT,10,1.2696,1.2305,1.3087,"(1.2305, 1.3087)"
LT,10,41.6755,-2.3766,85.7276,"(-2.3766, 85.7276)"
LU,10,2.4061,2.0385,2.7738,"(2.0385, 2.7738)"
LV,10,2.0569,1.3528,2.761,"(1.3528, 2.7610)"
NL,10,3.5563,3.1789,3.9337,"(3.1789, 3.9337)"
NO,10,1.0973,1.0683,1.1262,"(1.0683, 1.1262)"
PL,10,9.5161,5.9919,13.0404,"(5.9919, 13.0404)"
PT,10,1.453,1.3963,1.5097,"(1.3963, 1.5097)"
RO,10,2.9349,2.4739,3.3959,"(2.4739, 3.3959)"
SE,10,2.6487,2.273,3.0245,"(2.2730, 3.0245)"
SI,10,1.0234,1.0083,1.0385,"(1.0083, 1.0385)"
SK,10,1.0171,1.0118,1.0224,"(1.0118, 1.0224)"
UK,10,2.6998,2.4818,2.9178,"(2.4818, 2.9178)"
