country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,3.4654,2.3947,4.5362,"(2.3947, 4.5362)"
BE,8,12.7752,-1.1357,26.686,"(-1.1357, 26.6860)"
BG,10,4.8288,3.028,6.6296,"(3.0280, 6.6296)"
CH,10,1.4647,1.3042,1.6253,"(1.3042, 1.6253)"
CZ,10,4.5256,1.3164,7.7348,"(1.3164, 7.7348)"
DE,10,2.7841,2.0192,3.5489,"(2.0192, 3.5489)"
DK,9,95.6541,-29.5468,220.8551,"(-29.5468, 220.8551)"
EE,1,39.9945,---,---,---
EL,10,1.2581,1.2042,1.312,"(1.2042, 1.3120)"
ES,10,1.4209,1.3328,1.509,"(1.3328, 1.5090)"
FI,1,33.6436,---,---,---
FR,10,2.007,1.844,2.1699,"(1.8440, 2.1699)"
HR,10,6.9534,4.8969,9.0099,"(4.8969, 9.0099)"
HU,10,4.0267,2.9672,5.0862,"(2.9672, 5.0862)"
IE,5,23.2522,---,---,---
IT,10,1.5129,1.3699,1.656,"(1.3699, 1.6560)"
LT,4,32.4841,---,---,---
LU,4,341.7935,---,---,---
LV,2,36.2696,---,---,---
NL,10,13.0688,7.8108,18.3269,"(7.8108, 18.3269)"
NO,7,2.1502,-0.035,4.3354,"(-0.0350, 4.3354)"
PL,10,14.2516,6.7409,21.7623,"(6.7409, 21.7623)"
PT,10,1.5796,1.4147,1.7444,"(1.4147, 1.7444)"
RO,10,2.5798,2.3581,2.8014,"(2.3581, 2.8014)"
SE,7,20.9857,8.4922,33.4792,"(8.4922, 33.4792)"
SI,7,1.4604,1.1194,1.8014,"(1.1194, 1.8014)"
SK,10,1.0332,1.0246,1.0417,"(1.0246, 1.0417)"
UK,10,8.138,-1.7525,18.0285,"(-1.7525, 18.0285)"
