country,n_scenarios,ratio
AT,1000,5.4041
BE,1000,0.0
BG,1000,11.3713
CH,1000,1.4731
CZ,1000,0.0
DE,1000,6.3335
DK,1000,0.0
EE,1000,81495.2414
EL,1000,1.3068
ES,1000,1.3546
FI,1000,684472.0835
FR,1000,2.7182
HR,1000,14.4969
HU,1000,7.6191
IE,1000,386865.9736
IT,1000,1.6545
LT,1000,2247311.4127
LU,1000,1611846.1512
LV,1000,139559.9417
NL,1000,0.0
NO,1000,5673155.1395
PL,1000,87.5999
PT,1000,1.4334
RO,1000,3.9511
SE,1000,0.0
SI,1000,0.0
SK,1000,1.021
UK,1000,48.2031
