country,95% CI for ratio
AT,"(1.31, 1.41)"
BE,"(1.42, 1.55)"
BG,"(1.12, 1.22)"
CH,"(0.95, 0.97)"
CZ,"(1.17, 1.22)"
DE,"(1.51, 1.84)"
DK,"(1.37, 1.47)"
EE,"(0.78, 0.79)"
ES,"(1.25, 1.31)"
FI,"(0.83, 0.85)"
FR,"(1.44, 1.59)"
EL,"(1.20, 1.26)"
HR,"(0.83, 0.84)"
HU,"(0.82, 0.83)"
IE,"(0.93, 0.95)"
IT,"(1.28, 1.38)"
LT,"(0.87, 0.90)"
LU,"(0.84, 0.88)"
LV,"(0.76, 0.76)"
NL,"(1.47, 1.64)"
NO,"(0.85, 0.87)"
PL,"(1.15, 1.21)"
PT,"(1.16, 1.28)"
RO,"(1.34, 1.57)"
SI,"(0.81, 0.82)"
SK,"(0.87, 0.88)"
SE,"(1.11, 1.17)"
UK,"(1.67, 1.90)"
