country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,3.769,2.8705,4.6675,"(2.8705, 4.6675)"
BE,5,19.1292,---,---,---
BG,10,2.5151,1.9022,3.1279,"(1.9022, 3.1279)"
CH,10,1.373,1.1621,1.5839,"(1.1621, 1.5839)"
CZ,8,5.066,3.0444,7.0876,"(3.0444, 7.0876)"
DE,8,84.4284,-18.4309,187.2877,"(-18.4309, 187.2877)"
DK,2,2.6268,---,---,---
EE,1,1.0,---,---,---
EL,10,1.367,1.2726,1.4614,"(1.2726, 1.4614)"
ES,10,1.5259,1.355,1.6968,"(1.3550, 1.6968)"
FI,2,1.1437,---,---,---
FR,10,2.4577,2.1231,2.7924,"(2.1231, 2.7924)"
HR,10,4.985,3.9975,5.9725,"(3.9975, 5.9725)"
HU,8,27.7432,-15.561,71.0474,"(-15.5610, 71.0474)"
IE,8,1.002,1.0002,1.0038,"(1.0002, 1.0038)"
IT,10,1.224,1.1613,1.2867,"(1.1613, 1.2867)"
LT,1,3.2861,---,---,---
LU,0,---,---,---,---
LV,0,---,---,---,---
NL,9,6.0677,1.2897,10.8456,"(1.2897, 10.8456)"
NO,10,1.031,1.0116,1.0504,"(1.0116, 1.0504)"
PL,7,32.6293,2.3993,62.8593,"(2.3993, 62.8593)"
PT,10,1.4847,1.3975,1.5718,"(1.3975, 1.5718)"
RO,10,2.4016,2.1071,2.696,"(2.1071, 2.6960)"
SE,0,---,---,---,---
SI,10,2.5721,-0.4191,5.5632,"(-0.4191, 5.5632)"
SK,10,1.0511,1.0299,1.0722,"(1.0299, 1.0722)"
UK,10,306.9379,-381.4418,995.3176,"(-381.4418, 995.3176)"
