country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.336,1.2944,1.3776,"(1.2944, 1.3776)"
BE,10,1.438,1.3619,1.5141,"(1.3619, 1.5141)"
BG,10,1.33,1.2718,1.3882,"(1.2718, 1.3882)"
CH,10,1.064,1.0556,1.0724,"(1.0556, 1.0724)"
CZ,10,1.203,1.1754,1.2306,"(1.1754, 1.2306)"
DE,10,1.33,1.2656,1.3944,"(1.2656, 1.3944)"
DK,10,1.245,1.2034,1.2866,"(1.2034, 1.2866)"
EE,10,1.061,1.0539,1.0681,"(1.0539, 1.0681)"
EL,10,1.247,1.2119,1.2821,"(1.2119, 1.2821)"
ES,10,1.218,1.1884,1.2476,"(1.1884, 1.2476)"
FI,10,1.021,1.0157,1.0263,"(1.0157, 1.0263)"
FR,10,1.333,1.2942,1.3718,"(1.2942, 1.3718)"
HR,10,1.205,1.1756,1.2344,"(1.1756, 1.2344)"
HU,10,1.177,1.1482,1.2058,"(1.1482, 1.2058)"
IE,10,1.0,,,N/A
IT,10,1.204,1.1711,1.2369,"(1.1711, 1.2369)"
LT,10,1.417,1.3976,1.4364,"(1.3976, 1.4364)"
LU,10,1.3,1.2503,1.3497,"(1.2503, 1.3497)"
LV,10,1.09,1.0805,1.0995,"(1.0805, 1.0995)"
NL,10,1.426,1.3626,1.4894,"(1.3626, 1.4894)"
NO,10,1.017,1.0087,1.0253,"(1.0087, 1.0253)"
PL,10,1.048,1.045,1.051,"(1.0450, 1.0510)"
PT,10,1.187,1.1727,1.2013,"(1.1727, 1.2013)"
RO,10,1.348,1.2947,1.4013,"(1.2947, 1.4013)"
SE,10,1.076,1.067,1.085,"(1.0670, 1.0850)"
SI,10,1.029,1.0192,1.0388,"(1.0192, 1.0388)"
SK,10,1.01,,,N/A
UK,10,1.505,1.4169,1.5931,"(1.4169, 1.5931)"
