Country,p,d,q,bic
AT,2,0,1,15811.253190794336
BE,5,0,4,13509.65565774647
BG,2,0,1,10954.77669830817
CH,2,0,0,5924.780660243577
CZ,4,0,0,8839.812111365618
DE,5,0,4,21009.77498207865
DK,5,0,0,14443.575482751516
EE,3,0,0,7596.603242084033
EL,1,0,5,12420.226317658966
ES,2,0,1,21039.01694068531
FI,3,0,2,10263.977982301098
FR,5,0,3,17585.32575314604
HR,2,0,0,9806.047623139488
HU,4,0,2,9267.434263684954
IE,2,0,1,13830.371550191441
IT,4,0,4,16929.602539939136
LT,4,0,0,7917.796757669695
LU,2,0,5,3510.9764618539766
LV,2,0,0,4261.858692408746
NL,2,1,3,14893.59953250425
NO,3,0,0,10255.676727518552
PL,5,0,5,15559.770156171715
PT,1,0,5,17065.25299718625
RO,2,0,1,15246.443668572894
SE,4,0,4,13934.169755402956
SI,1,0,4,-2738.0002611635796
SK,5,0,5,-3293.8617985049295
UK,3,0,1,17269.435502486824
