country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.093,1.0761,1.1099,"(1.0761, 1.1099)"
BE,10,1.225,1.1997,1.2503,"(1.1997, 1.2503)"
BG,10,1.195,1.1744,1.2156,"(1.1744, 1.2156)"
CH,10,1.049,1.0411,1.0569,"(1.0411, 1.0569)"
CZ,10,1.115,1.1032,1.1268,"(1.1032, 1.1268)"
DE,10,1.164,1.1418,1.1862,"(1.1418, 1.1862)"
DK,10,1.059,1.0346,1.0834,"(1.0346, 1.0834)"
EE,10,1.017,1.0135,1.0205,"(1.0135, 1.0205)"
EL,10,1.158,1.1415,1.1745,"(1.1415, 1.1745)"
ES,10,1.099,1.0886,1.1094,"(1.0886, 1.1094)"
FI,10,1.005,1.0012,1.0088,"(1.0012, 1.0088)"
FR,10,1.154,1.1337,1.1743,"(1.1337, 1.1743)"
HR,10,1.081,1.0706,1.0914,"(1.0706, 1.0914)"
HU,10,1.056,1.0476,1.0644,"(1.0476, 1.0644)"
IE,10,1.0,,,N/A
IT,10,1.139,1.1281,1.1499,"(1.1281, 1.1499)"
LT,10,1.136,1.1187,1.1533,"(1.1187, 1.1533)"
LV,10,1.023,1.0182,1.0278,"(1.0182, 1.0278)"
NL,10,1.15,1.1306,1.1694,"(1.1306, 1.1694)"
NO,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)"
PL,10,1.015,1.0112,1.0188,"(1.0112, 1.0188)"
PT,10,1.048,1.0414,1.0546,"(1.0414, 1.0546)"
RO,10,1.15,1.1331,1.1669,"(1.1331, 1.1669)"
SE,10,1.012,1.009,1.015,"(1.0090, 1.0150)"
SI,10,1.011,1.0069,1.0151,"(1.0069, 1.0151)"
UK,10,1.116,1.0814,1.1506,"(1.0814, 1.1506)"
