tol,set_number,country,wind objective,solar objective,combined objective,ratio
0.01000,4,CZ,-0.00000,-0.00000,4.65665,0.00000
0.01000,4,DE,-0.00000,338.08109,559.54207,1.65505
0.01000,4,DK,-0.00000,5.70725,21.50160,3.76742
0.01000,4,EE,-0.00000,-0.00000,0.01660,0.00000
0.01000,4,EL,-0.00000,81.27036,122.08883,1.50226
0.01000,4,ES,-0.00000,412.83429,580.49274,1.40612
0.01000,4,FI,-0.00000,-0.00000,0.06053,0.00000
0.01000,4,FR,-0.00000,184.67554,279.79719,1.51507
0.01000,4,HR,-0.00000,0.09291,0.49298,5.30595
0.01000,4,HU,-0.00000,0.11793,0.85873,7.28193
0.01000,4,IE,-0.00000,0.00175,0.00992,5.66926
0.01000,4,IT,-0.00000,424.98589,592.52184,1.39422
0.01000,4,LT,-0.00000,-0.00000,0.01772,0.00000
0.01000,4,LU,-0.00000,0.23193,0.78989,3.40579
0.01000,4,LV,-0.00000,-0.00000,0.00745,0.00000
0.01000,4,NL,-0.00000,4.90962,25.58853,5.21191
0.01000,4,NO,-0.00000,0.03617,0.37135,10.26595
0.01000,4,PL,-0.00000,0.06121,0.93317,15.24529
0.01000,4,PT,-0.00000,27.72110,47.66690,1.71952
0.01000,4,RO,-0.00000,-0.00000,-0.00000,0.00000
0.01000,4,SE,-0.00000,0.74088,1.50904,2.03680
0.01000,4,SI,-0.00000,0.10863,0.13487,1.24148
0.01000,4,SK,-0.00000,0.72510,0.81359,1.12203
0.01000,4,UK,-0.00000,108.51421,304.63143,2.80730
0.01000,5,AT,-0.00000,1.11518,6.91800,6.20348
0.01000,5,BE,-0.00000,4.16686,39.62927,9.51059
0.01000,5,BG,-0.00000,1.79359,3.76656,2.10001
0.01000,5,CH,-0.00000,3.34656,5.26490,1.57323
0.01000,5,CZ,-0.00000,-0.00000,5.11703,0.00000
0.01000,5,DE,-0.00000,414.69667,698.57725,1.68455
0.01000,5,DK,-0.00000,6.17262,23.03961,3.73255
0.01000,5,EE,-0.00000,-0.00000,0.02455,0.00000
0.01000,5,EL,-0.00000,84.13538,106.01077,1.26000
0.01000,5,ES,-0.00000,432.90206,614.90808,1.42043
0.01000,5,FI,-0.00000,-0.00000,0.00407,0.00000
0.01000,5,FR,-0.00000,159.26608,276.11779,1.73369
0.01000,5,HR,-0.00000,0.03025,0.38909,12.86231
0.01000,5,HU,-0.00000,0.19918,0.55359,2.77930
0.01000,5,IE,-0.00000,0.00020,0.01594,78.35595
0.01000,5,IT,-0.00000,491.56397,618.36667,1.25796
0.01000,5,LT,-0.00000,-0.00000,0.45202,0.00000
0.01000,5,LU,-0.00000,0.02543,0.31891,12.54255
0.01000,5,LV,-0.00000,-0.00000,0.00374,0.00000
0.01000,5,NL,-0.00000,4.90626,16.25953,3.31404
0.01000,5,NO,-0.00000,0.04663,0.46712,10.01862
0.01000,5,PL,-0.00000,0.11517,1.13778,9.87929
0.01000,5,PT,-0.00000,32.31262,42.49126,1.31501
0.01000,5,RO,-0.00000,0.31435,1.46000,4.64452
0.01000,5,SE,-0.00000,0.41198,0.96202,2.33509
0.01000,5,SI,-0.00000,-0.00000,0.02921,0.00000
0.01000,5,SK,-0.00000,3.45310,3.51947,1.01922
0.01000,5,UK,-0.00000,112.78716,246.08027,2.18181
0.01000,6,AT,-0.00000,2.28571,7.03778,3.07903
0.01000,6,BE,-0.00000,5.04275,38.77300,7.68886
0.01000,6,BG,-0.00000,1.65414,8.21488,4.96624
0.01000,6,CH,-0.00000,1.57708,2.75807,1.74885
0.01000,6,CZ,-0.00000,-0.00000,2.19298,0.00000
0.01000,6,DE,-0.00000,350.98554,494.75008,1.40960
0.01000,6,DK,-0.00000,8.28486,24.50107,2.95733
0.01000,6,EE,-0.00000,-0.00000,0.04436,0.00000
0.01000,6,EL,-0.00000,91.41758,123.06285,1.34616
0.01000,6,ES,-0.00000,420.78026,550.23028,1.30764
0.01000,6,FI,-0.00000,-0.00000,0.04316,0.00000
0.01000,6,FR,-0.00000,159.35483,279.54672,1.75424
0.01000,6,HR,-0.00000,-0.00000,0.28131,0.00000
0.01000,6,HU,-0.00000,0.22568,0.82685,3.66391
0.01000,6,IE,-0.00000,0.00005,0.01295,267.58058
0.01000,6,IT,-0.00000,363.25531,512.56691,1.41104
0.01000,6,LT,-0.00000,-0.00000,0.58927,0.00000
0.01000,6,LU,-0.00000,-0.00000,0.42386,0.00000
0.01000,6,LV,-0.00000,-0.00000,0.00873,0.00000
0.01000,6,NL,-0.00000,9.06056,27.01002,2.98106
0.01000,6,NO,2.18864,0.06561,2.73587,1.21364
0.01000,6,PL,-0.00000,0.04141,1.86379,45.01154
0.01000,6,PT,-0.00000,27.32334,44.48529,1.62811
0.01000,6,RO,-0.00000,1.92747,6.51008,3.37753
0.01000,6,SE,-0.00000,0.37103,1.96179,5.28739
0.01000,6,SI,-0.00000,0.22632,0.24423,1.07917
0.01000,6,SK,-0.00000,2.74000,2.86020,1.04387
0.01000,6,UK,-0.00000,148.64349,355.47682,2.39147
0.01000,7,AT,-0.00000,2.50660,12.07756,4.81831
0.01000,7,BE,-0.00000,11.13023,33.13320,2.97687
0.01000,7,BG,-0.00000,1.26580,5.83048,4.60614
0.01000,7,CH,-0.00000,2.29476,3.63429,1.58374
0.01000,7,CZ,-0.00000,-0.00000,6.34037,0.00000
0.01000,7,DE,-0.00000,327.91554,739.38900,2.25482
0.01000,7,DK,-0.00000,6.53909,16.95361,2.59266
0.01000,7,EE,-0.00000,-0.00000,0.01892,0.00000
