country,95% CI for ratio
AT,"(1.56, 1.72)"
BE,"(2.22, 2.62)"
BG,"(1.60, 1.80)"
CH,"(1.34, 1.40)"
CZ,"(1.49, 1.69)"
DE,"(1.60, 1.94)"
DK,"(1.89, 2.12)"
EE,"(1.03, 1.07)"
ES,"(1.31, 1.42)"
FI,"(1.17, 1.22)"
FR,"(1.68, 1.90)"
EL,"(1.32, 1.41)"
HR,"(1.36, 1.44)"
HU,"(1.24, 1.38)"
IE,"(1.18, 1.25)"
IT,"(1.23, 1.32)"
LT,"(1.31, 1.51)"
LU,"(1.18, 1.26)"
LV,"(0.82, 0.83)"
NL,"(2.09, 2.44)"
NO,"(1.11, 1.16)"
PL,"(1.32, 1.46)"
PT,"(1.26, 1.34)"
RO,"(1.76, 2.34)"
SI,"(1.06, 1.10)"
SK,"(1.17, 1.20)"
SE,"(1.34, 1.51)"
UK,"(1.95, 2.28)"
