country,95% CI for ratio
AT,"(0.9380, 1.0620)"
BE,"(1.1704, 1.2756)"
BG,"(1.0474, 1.1686)"
CH,"(0.8537, 0.8783)"
CZ,"(1.0233, 1.0667)"
DE,"(1.4599, 1.7101)"
DK,"(1.1186, 1.2334)"
EE,"(0.5616, 0.5904)"
ES,"(1.1568, 1.2292)"
FI,"(0.6391, 0.6989)"
FR,"(1.2947, 1.4053)"
EL,"(1.1345, 1.1655)"
HR,"(0.6370, 0.6550)"
HU,"(0.6256, 0.6424)"
IE,"(0.7528, 0.8072)"
IT,"(1.1359, 1.1881)"
LT,"(0.6718, 0.6942)"
LU,"(0.6583, 0.6817)"
LV,"(0.5103, 0.5177)"
NL,"(1.1584, 1.2636)"
NO,"(0.7639, 0.8001)"
PL,"(0.8531, 0.8809)"
PT,"(0.9403, 0.9877)"
RO,"(1.1040, 1.3080)"
SI,"(0.6390, 0.6450)"
SK,"(0.7522, 0.7618)"
SE,"(0.8524, 0.8796)"
UK,"(1.4703, 1.6197)"
