country,tol,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
NL,0.01000,40,4.10288,2.93321,6.44469,3.51148,4.51946,2.48069,28.72079,False
NL,0.05000,40,2.02811,1.66594,2.93451,1.26856,25.29721,5.92309,63.31822,False
NL,0.10000,40,1.61663,1.41662,2.09620,0.67959,52.28906,9.54068,99.95567,False
NO,0.01000,40,1.05546,1.03436,1.10397,0.06961,5.17021,0.01664,5.47452,False
NO,0.05000,40,1.01833,1.01331,1.02622,0.01291,17.46375,0.03456,17.81900,False
NO,0.10000,40,1.01023,1.00779,1.01374,0.00595,32.79852,0.04662,33.18118,False
PL,0.01000,40,12.72803,10.16932,16.76856,6.59924,0.00000,0.11247,1.43157,False
PL,0.05000,40,3.31893,2.17200,7.00750,4.83549,0.52420,0.34124,2.87233,False
PL,0.10000,40,1.15367,1.08903,1.38413,0.29509,14.10238,0.56697,16.92365,False
PT,0.01000,40,1.49058,1.44161,1.54015,0.09854,0.00000,21.64892,32.26943,False
PT,0.05000,40,1.55868,1.51771,1.60326,0.08555,0.01151,24.66002,38.45505,False
PT,0.10000,40,1.56411,1.51948,1.61321,0.09373,1.78114,27.11365,45.19463,False
RO,0.01000,40,2.61222,2.46113,2.77830,0.31716,0.00000,11.72071,30.61711,False
RO,0.05000,40,2.33698,2.22952,2.45588,0.22636,0.02652,17.83127,41.73324,False
RO,0.10000,40,2.14407,2.03557,2.25657,0.22101,1.10345,22.72094,51.08117,False
SE,0.01000,40,5.18348,3.62465,8.84654,5.22190,0.00000,0.12245,0.63474,False
SE,0.05000,40,1.80145,1.36443,3.63567,2.27124,0.98455,0.26689,2.25440,False
SE,0.10000,40,1.12098,1.06640,1.32184,0.25545,11.26989,0.40338,13.08545,False
SI,0.01000,40,1.20371,1.14500,1.29561,0.15060,0.00000,0.22170,0.26687,False
SI,0.05000,40,1.03172,1.01900,1.04338,0.02437,0.01752,0.94940,0.99759,False
SI,0.10000,40,1.00901,0.99833,1.01928,0.02095,0.04106,1.66550,1.72193,False
SK,0.01000,40,1.03240,1.02792,1.03802,0.01010,0.00000,1.99792,2.06266,False
SK,0.05000,40,1.01255,1.01007,1.01510,0.00503,0.01671,4.19112,4.26061,False
SK,0.10000,40,1.00390,1.00170,1.00599,0.00429,0.04234,6.18508,6.25169,False
UK,0.01000,40,2.35806,1.90018,3.25867,1.35849,53.77854,30.61262,198.99939,False
UK,0.05000,40,1.49807,1.31298,1.87163,0.55865,201.63311,54.58154,383.82853,False
UK,0.10000,40,1.31911,1.20695,1.53404,0.32709,342.43450,75.40519,551.17777,False
