country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,2.7071,2.413,3.0012,"(2.4130, 3.0012)"
BE,10,3.2049,2.3847,4.0252,"(2.3847, 4.0252)"
BG,10,1.8101,1.6051,2.015,"(1.6051, 2.0150)"
CH,10,1.1949,1.1408,1.249,"(1.1408, 1.2490)"
CZ,10,2.3088,1.9882,2.6294,"(1.9882, 2.6294)"
DE,10,7.1318,4.7192,9.5444,"(4.7192, 9.5444)"
DK,7,1.988,0.6454,3.3305,"(0.6454, 3.3305)"
EE,10,1.0619,1.0046,1.1192,"(1.0046, 1.1192)"
EL,10,1.349,1.2604,1.4377,"(1.2604, 1.4377)"
ES,10,1.5216,1.427,1.6161,"(1.4270, 1.6161)"
FI,10,1.0173,1.0009,1.0337,"(1.0009, 1.0337)"
FR,10,1.6446,1.4783,1.811,"(1.4783, 1.8110)"
HR,10,3.1605,2.5095,3.8115,"(2.5095, 3.8115)"
HU,10,3.9519,3.5346,4.3692,"(3.5346, 4.3692)"
IE,10,1.0003,0.9999,1.0007,"(0.9999, 1.0007)"
IT,10,1.1737,1.1389,1.2085,"(1.1389, 1.2085)"
LT,10,44.3003,-5.5101,94.1107,"(-5.5101, 94.1107)"
LU,10,4.8669,2.2493,7.4846,"(2.2493, 7.4846)"
LV,10,1.3904,0.976,1.8047,"(0.9760, 1.8047)"
NL,10,1.6064,1.2588,1.9541,"(1.2588, 1.9541)"
NO,10,1.0059,1.0039,1.0078,"(1.0039, 1.0078)"
PL,10,8.3303,5.333,11.3276,"(5.3330, 11.3276)"
PT,10,1.572,1.5103,1.6336,"(1.5103, 1.6336)"
RO,10,2.1145,1.8835,2.3456,"(1.8835, 2.3456)"
SE,9,87.5421,-93.7128,268.797,"(-93.7128, 268.7970)"
SI,10,1.0378,1.0035,1.0721,"(1.0035, 1.0721)"
SK,10,1.0195,1.011,1.028,"(1.0110, 1.0280)"
UK,10,1.1537,1.0563,1.251,"(1.0563, 1.2510)"
