country,95% CI for ratio
AT,"(1.33, 1.48)"
BE,"(1.97, 2.35)"
BG,"(1.33, 1.53)"
CH,"(1.05, 1.11)"
CZ,"(1.18, 1.34)"
DE,"(1.59, 1.92)"
DK,"(1.66, 1.90)"
EE,"(0.82, 0.84)"
ES,"(1.29, 1.39)"
FI,"(0.86, 0.89)"
FR,"(1.64, 1.86)"
EL,"(1.25, 1.34)"
HR,"(1.14, 1.18)"
HU,"(1.02, 1.14)"
IE,"(0.81, 0.87)"
IT,"(1.22, 1.31)"
LT,"(1.13, 1.29)"
LU,"(1.05, 1.14)"
LV,"(0.61, 0.63)"
NL,"(1.83, 2.19)"
NO,"(0.93, 0.95)"
PL,"(1.04, 1.17)"
PT,"(1.17, 1.24)"
RO,"(1.40, 1.90)"
SI,"(0.88, 0.90)"
SK,"(0.94, 0.94)"
SE,"(1.07, 1.24)"
UK,"(1.91, 2.23)"
