country,n_scenarios,ratio
AT,1000,7.8668
BE,1000,0.0
BG,1000,3.1661
CH,1000,1.6497
CZ,1000,0.0
DE,1000,0.0
DK,1000,0.0
EE,1000,0.0
EL,1000,1.4283
ES,1000,1.5124
FI,1000,0.0
FR,1000,2.3979
HR,1000,6.916
HU,1000,21461598.8473
IE,1000,0.0
IT,1000,1.3614
LT,1000,0.0
LU,1000,0.0
LV,1000,0.0
NL,1000,0.0
NO,1000,1.0992
PL,1000,0.0
PT,1000,1.3379
RO,1000,2.9818
SE,1000,0.0
SI,1000,0.0
SK,1000,0.0
UK,1000,605.5889
