country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.106,1.0963,1.1157,"(1.0963, 1.1157)"
BE,10,1.185,1.1665,1.2035,"(1.1665, 1.2035)"
DE,10,1.169,1.152,1.186,"(1.1520, 1.1860)"
DK,10,1.108,1.0919,1.1241,"(1.0919, 1.1241)"
EL,10,1.133,1.1187,1.1473,"(1.1187, 1.1473)"
ES,10,1.082,1.072,1.092,"(1.0720, 1.0920)"
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)"
FR,10,1.131,1.1165,1.1455,"(1.1165, 1.1455)"
HR,10,1.079,1.0711,1.0869,"(1.0711, 1.0869)"
IE,10,1.0,,,N/A
LT,10,1.156,1.142,1.17,"(1.1420, 1.1700)"
NL,10,1.149,1.1221,1.1759,"(1.1221, 1.1759)"
NO,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)"
PL,10,1.016,1.0123,1.0197,"(1.0123, 1.0197)"
PT,10,1.034,1.0222,1.0458,"(1.0222, 1.0458)"
RO,10,1.122,1.1066,1.1374,"(1.1066, 1.1374)"
SE,10,1.022,1.0164,1.0276,"(1.0164, 1.0276)"
UK,10,1.139,1.1143,1.1637,"(1.1143, 1.1637)"
