country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,3.0322,2.5951,3.4692,"(2.5951, 3.4692)"
BE,10,2.5993,2.3041,2.8945,"(2.3041, 2.8945)"
BG,10,1.8814,1.6905,2.0722,"(1.6905, 2.0722)"
CH,10,1.1806,1.1182,1.243,"(1.1182, 1.2430)"
CZ,10,1.3501,1.2554,1.4447,"(1.2554, 1.4447)"
DE,10,2.071,1.8911,2.2508,"(1.8911, 2.2508)"
DK,10,2.7879,2.4877,3.0882,"(2.4877, 3.0882)"
EE,10,6.0686,3.4055,8.7317,"(3.4055, 8.7317)"
EL,10,1.35,1.311,1.3889,"(1.3110, 1.3889)"
ES,10,1.4247,1.3581,1.4913,"(1.3581, 1.4913)"
FI,10,6.3896,0.5781,12.201,"(0.5781, 12.2010)"
FR,10,1.7561,1.634,1.8782,"(1.6340, 1.8782)"
HR,10,3.7511,3.1931,4.3091,"(3.1931, 4.3091)"
HU,10,2.6183,2.2906,2.9459,"(2.2906, 2.9459)"
IE,10,0.9615,0.876,1.0469,"(0.8760, 1.0469)"
IT,10,1.2567,1.2285,1.285,"(1.2285, 1.2850)"
LT,10,7.6007,5.8395,9.3618,"(5.8395, 9.3618)"
LU,10,2.0432,1.7389,2.3474,"(1.7389, 2.3474)"
LV,10,2.6175,1.8191,3.4159,"(1.8191, 3.4159)"
NL,10,3.253,2.7811,3.7249,"(2.7811, 3.7249)"
NO,10,1.0434,1.0271,1.0597,"(1.0271, 1.0597)"
PL,10,4.0008,1.739,6.2627,"(1.7390, 6.2627)"
PT,10,1.4633,1.3809,1.5456,"(1.3809, 1.5456)"
RO,10,2.9033,2.5624,3.2442,"(2.5624, 3.2442)"
SE,10,3.0546,2.6245,3.4847,"(2.6245, 3.4847)"
SI,10,0.9854,0.9592,1.0116,"(0.9592, 1.0116)"
SK,10,1.0069,1.002,1.0118,"(1.0020, 1.0118)"
UK,10,2.2265,2.0015,2.4516,"(2.0015, 2.4516)"
