Country,p,d,q,bic
AT,2,0,1,15692.404160965816
BE,2,0,2,13645.556907727429
BG,2,0,1,10900.69724422
CH,3,0,0,6203.208947117573
CZ,4,0,2,8917.528697209082
DE,4,0,4,20816.345355380803
DK,2,0,2,14673.363696006842
EE,3,0,0,7863.032213367532
EL,1,0,5,12265.932474986423
ES,4,0,0,20619.02481438533
FI,2,0,4,10694.693652135278
FR,4,0,0,17021.25411817968
HR,3,0,1,9302.595116206288
HU,3,0,3,9173.804058120693
IE,2,0,2,14000.181590056427
IT,1,0,5,16109.40444745611
LT,3,0,0,7685.053144431217
LU,3,0,0,3728.5743484655763
LV,2,0,0,4531.586658149515
NL,3,0,1,15233.104379727916
NO,2,0,3,10758.72251260906
PL,3,0,2,15176.030553971596
PT,2,0,1,16823.95342523944
RO,2,0,1,15183.718881519184
SE,2,0,4,14148.813575736427
SI,4,0,2,-3713.963915902741
SK,1,0,4,-3552.3873783322224
UK,3,0,0,17409.812526175512
