country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.363,1.2894,1.4366,"(1.2894, 1.4366)"
BE,10,1.71,1.5761,1.8439,"(1.5761, 1.8439)"
BG,10,1.254,1.2135,1.2945,"(1.2135, 1.2945)"
CH,10,1.089,1.0717,1.1063,"(1.0717, 1.1063)"
CZ,10,1.34,1.2695,1.4105,"(1.2695, 1.4105)"
DE,10,1.59,1.4831,1.6969,"(1.4831, 1.6969)"
DK,10,1.146,1.079,1.213,"(1.0790, 1.2130)"
EE,10,1.032,1.019,1.045,"(1.0190, 1.0450)"
EL,10,1.196,1.169,1.223,"(1.1690, 1.2230)"
ES,10,1.219,1.1948,1.2432,"(1.1948, 1.2432)"
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)"
FR,10,1.299,1.2289,1.3691,"(1.2289, 1.3691)"
HR,10,1.148,1.1206,1.1754,"(1.1206, 1.1754)"
HU,10,1.167,1.1407,1.1933,"(1.1407, 1.1933)"
IE,10,1.0,,,N/A
IT,10,1.097,1.0779,1.1161,"(1.0779, 1.1161)"
LT,10,1.424,1.3742,1.4738,"(1.3742, 1.4738)"
LU,10,1.523,1.4366,1.6094,"(1.4366, 1.6094)"
LV,10,1.068,1.0493,1.0867,"(1.0493, 1.0867)"
NL,10,1.38,1.2425,1.5175,"(1.2425, 1.5175)"
NO,10,1.011,1.0057,1.0163,"(1.0057, 1.0163)"
PL,10,1.042,1.0364,1.0476,"(1.0364, 1.0476)"
PT,10,1.194,1.1634,1.2246,"(1.1634, 1.2246)"
RO,10,1.354,1.2799,1.4281,"(1.2799, 1.4281)"
SE,10,1.031,1.0196,1.0424,"(1.0196, 1.0424)"
SI,10,1.019,1.0127,1.0253,"(1.0127, 1.0253)"
SK,10,1.01,1.0066,1.0134,"(1.0066, 1.0134)"
UK,10,1.357,1.2455,1.4685,"(1.2455, 1.4685)"
