country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,3.2369,2.7043,3.7695,"(2.7043, 3.7695)"
BE,10,5.4479,4.704,6.1918,"(4.7040, 6.1918)"
BG,10,2.1749,1.896,2.4538,"(1.8960, 2.4538)"
CH,10,1.1488,1.1066,1.191,"(1.1066, 1.1910)"
CZ,10,1.9588,1.6503,2.2672,"(1.6503, 2.2672)"
DE,10,3.4681,2.8735,4.0627,"(2.8735, 4.0627)"
DK,10,7.8898,4.6939,11.0857,"(4.6939, 11.0857)"
EE,10,7.5336,4.9764,10.0908,"(4.9764, 10.0908)"
EL,10,1.3928,1.3158,1.4697,"(1.3158, 1.4697)"
ES,10,1.4468,1.3501,1.5435,"(1.3501, 1.5435)"
FI,10,13.2327,10.1938,16.2717,"(10.1938, 16.2717)"
FR,10,1.7343,1.5942,1.8744,"(1.5942, 1.8744)"
HR,10,3.4656,2.6263,4.3049,"(2.6263, 4.3049)"
HU,10,2.5571,2.296,2.8182,"(2.2960, 2.8182)"
IE,10,5.8335,2.3161,9.3508,"(2.3161, 9.3508)"
IT,10,1.4637,1.397,1.5304,"(1.3970, 1.5304)"
LT,10,10.832,7.1637,14.5003,"(7.1637, 14.5003)"
LU,10,3.9191,2.5919,5.2463,"(2.5919, 5.2463)"
LV,10,1.8935,1.4171,2.3699,"(1.4171, 2.3699)"
NL,10,11.389,7.1084,15.6695,"(7.1084, 15.6695)"
NO,10,1.0207,1.0133,1.0281,"(1.0133, 1.0281)"
PL,10,5.6096,4.6046,6.6146,"(4.6046, 6.6146)"
PT,10,1.6566,1.5709,1.7422,"(1.5709, 1.7422)"
RO,10,2.4414,2.2432,2.6395,"(2.2432, 2.6395)"
SE,10,10.4937,8.1037,12.8836,"(8.1037, 12.8836)"
SI,10,1.0338,1.0067,1.0609,"(1.0067, 1.0609)"
SK,10,1.0064,1.0013,1.0115,"(1.0013, 1.0115)"
UK,10,4.7276,3.3053,6.15,"(3.3053, 6.1500)"
