country,95% CI for ratio
AT,"(1.31, 1.45)"
BE,"(1.55, 1.68)"
BG,"(1.26, 1.41)"
CH,"(1.05, 1.07)"
CZ,"(1.27, 1.32)"
DE,"(1.67, 1.95)"
DK,"(1.50, 1.59)"
EE,"(1.01, 1.01)"
ES,"(1.30, 1.38)"
FI,"(1.02, 1.04)"
FR,"(1.54, 1.67)"
EL,"(1.25, 1.30)"
HR,"(1.06, 1.07)"
HU,"(1.04, 1.06)"
IE,"(1.15, 1.28)"
IT,"(1.32, 1.38)"
LT,"(1.09, 1.12)"
LU,"(1.06, 1.09)"
LV,"(1.00, 1.00)"
NL,"(1.48, 1.58)"
NO,"(1.01, 1.05)"
PL,"(1.33, 1.49)"
PT,"(1.26, 1.32)"
RO,"(1.51, 1.73)"
SI,"(1.00, 1.01)"
SK,"(1.00, 1.01)"
SE,"(1.28, 1.39)"
UK,"(1.81, 1.95)"
