country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.181,1.1194,1.2426,"(1.1194, 1.2426)"
BE,10,1.444,1.3891,1.4989,"(1.3891, 1.4989)"
BG,10,1.295,1.2686,1.3214,"(1.2686, 1.3214)"
CH,10,1.107,1.0919,1.1221,"(1.0919, 1.1221)"
CZ,10,1.357,1.31,1.404,"(1.3100, 1.4040)"
DE,10,1.442,1.3621,1.5219,"(1.3621, 1.5219)"
DK,10,1.081,1.0706,1.0914,"(1.0706, 1.0914)"
EE,10,1.014,1.008,1.02,"(1.0080, 1.0200)"
EL,10,1.225,1.1944,1.2556,"(1.1944, 1.2556)"
ES,10,1.236,1.1984,1.2736,"(1.1984, 1.2736)"
FI,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)"
FR,10,1.197,1.1684,1.2256,"(1.1684, 1.2256)"
HR,10,1.19,1.1687,1.2113,"(1.1687, 1.2113)"
HU,10,1.165,1.1456,1.1844,"(1.1456, 1.1844)"
IE,10,1.0,,,N/A
IT,10,1.132,1.1127,1.1513,"(1.1127, 1.1513)"
LT,10,1.272,1.182,1.362,"(1.1820, 1.3620)"
LU,10,1.498,1.4334,1.5626,"(1.4334, 1.5626)"
LV,10,1.027,1.0174,1.0366,"(1.0174, 1.0366)"
NL,10,1.185,1.142,1.228,"(1.1420, 1.2280)"
NO,10,1.003,0.9995,1.0065,"(0.9995, 1.0065)"
PL,10,1.024,1.0163,1.0317,"(1.0163, 1.0317)"
PT,10,1.138,1.1059,1.1701,"(1.1059, 1.1701)"
RO,10,1.27,1.2189,1.3211,"(1.2189, 1.3211)"
SE,10,1.022,1.009,1.035,"(1.0090, 1.0350)"
SI,10,1.016,1.011,1.021,"(1.0110, 1.0210)"
SK,10,1.011,1.0087,1.0133,"(1.0087, 1.0133)"
UK,10,1.182,1.1566,1.2074,"(1.1566, 1.2074)"
