country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.129,1.1113,1.1467,"(1.1113, 1.1467)"
BE,10,1.298,1.2431,1.3529,"(1.2431, 1.3529)"
BG,10,1.242,1.2062,1.2778,"(1.2062, 1.2778)"
CH,10,1.085,1.0773,1.0927,"(1.0773, 1.0927)"
CZ,10,1.292,1.2657,1.3183,"(1.2657, 1.3183)"
DE,10,1.307,1.2527,1.3613,"(1.2527, 1.3613)"
DK,10,1.067,1.0544,1.0796,"(1.0544, 1.0796)"
EE,10,1.01,,,N/A
EL,10,1.197,1.1724,1.2216,"(1.1724, 1.2216)"
ES,10,1.123,1.0848,1.1612,"(1.0848, 1.1612)"
FI,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)"
FR,10,1.15,1.1237,1.1763,"(1.1237, 1.1763)"
HR,10,1.203,1.1806,1.2254,"(1.1806, 1.2254)"
HU,10,1.1,1.0591,1.1409,"(1.0591, 1.1409)"
IE,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)"
IT,10,1.15,1.1365,1.1635,"(1.1365, 1.1635)"
LT,10,1.129,1.1046,1.1534,"(1.1046, 1.1534)"
LU,10,1.404,1.3599,1.4481,"(1.3599, 1.4481)"
LV,10,1.017,1.0135,1.0205,"(1.0135, 1.0205)"
NL,10,1.15,1.122,1.178,"(1.1220, 1.1780)"
NO,10,1.0,,,N/A
PL,10,1.01,,,N/A
PT,10,1.092,1.0509,1.1331,"(1.0509, 1.1331)"
RO,10,1.199,1.1659,1.2321,"(1.1659, 1.2321)"
SE,10,1.017,1.0135,1.0205,"(1.0135, 1.0205)"
SI,10,1.016,1.0123,1.0197,"(1.0123, 1.0197)"
SK,10,1.011,1.0087,1.0133,"(1.0087, 1.0133)"
UK,10,1.13,1.1054,1.1546,"(1.1054, 1.1546)"
