country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.143,1.1233,1.1627,"(1.1233, 1.1627)"
BE,10,1.333,1.2929,1.3731,"(1.2929, 1.3731)"
BG,10,1.296,1.266,1.326,"(1.2660, 1.3260)"
CH,10,1.058,1.0535,1.0625,"(1.0535, 1.0625)"
CZ,10,1.125,1.1098,1.1402,"(1.1098, 1.1402)"
DE,10,1.314,1.2788,1.3492,"(1.2788, 1.3492)"
DK,10,1.16,1.1246,1.1954,"(1.1246, 1.1954)"
EE,10,1.026,1.02,1.032,"(1.0200, 1.0320)"
EL,10,1.188,1.1746,1.2014,"(1.1746, 1.2014)"
ES,10,1.166,1.1293,1.2027,"(1.1293, 1.2027)"
FI,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)"
FR,10,1.169,1.1484,1.1896,"(1.1484, 1.1896)"
HR,10,1.169,1.122,1.216,"(1.1220, 1.2160)"
HU,10,1.069,1.0541,1.0839,"(1.0541, 1.0839)"
IE,10,1.0,,,N/A
IT,10,1.182,1.1655,1.1985,"(1.1655, 1.1985)"
LT,10,1.199,1.1504,1.2476,"(1.1504, 1.2476)"
LU,10,1.253,1.2212,1.2848,"(1.2212, 1.2848)"
LV,10,1.064,1.044,1.084,"(1.0440, 1.0840)"
NL,10,1.22,1.192,1.248,"(1.1920, 1.2480)"
NO,10,1.01,,,N/A
PL,10,1.016,1.011,1.021,"(1.0110, 1.0210)"
PT,10,1.095,1.0567,1.1333,"(1.0567, 1.1333)"
RO,10,1.254,1.2024,1.3056,"(1.2024, 1.3056)"
SE,10,1.085,1.0737,1.0963,"(1.0737, 1.0963)"
SI,10,1.013,1.0095,1.0165,"(1.0095, 1.0165)"
SK,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)"
UK,10,1.371,1.3448,1.3972,"(1.3448, 1.3972)"
