country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.074,1.0581,1.0899,"(1.0581, 1.0899)"
BE,10,1.172,1.1451,1.1989,"(1.1451, 1.1989)"
BG,10,1.162,1.147,1.177,"(1.1470, 1.1770)"
CH,10,1.063,1.0547,1.0713,"(1.0547, 1.0713)"
CZ,10,1.175,1.1521,1.1979,"(1.1521, 1.1979)"
DE,10,1.176,1.1503,1.2017,"(1.1503, 1.2017)"
DK,10,1.037,1.0258,1.0482,"(1.0258, 1.0482)"
EE,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)"
EL,10,1.135,1.1171,1.1529,"(1.1171, 1.1529)"
ES,10,1.098,1.0855,1.1105,"(1.0855, 1.1105)"
FI,10,1.0,,,"(nan, nan)"
FR,10,1.071,1.0537,1.0883,"(1.0537, 1.0883)"
HU,10,1.055,1.0499,1.0601,"(1.0499, 1.0601)"
IE,10,1.0,,,"(nan, nan)"
LT,10,1.088,1.0602,1.1158,"(1.0602, 1.1158)"
LU,10,1.239,1.2139,1.2641,"(1.2139, 1.2641)"
LV,10,1.009,1.0037,1.0143,"(1.0037, 1.0143)"
NL,10,1.069,1.0557,1.0823,"(1.0557, 1.0823)"
NO,10,1.0,,,"(nan, nan)"
PL,10,1.008,1.005,1.011,"(1.0050, 1.0110)"
PT,10,1.054,1.0438,1.0642,"(1.0438, 1.0642)"
RO,10,1.125,1.1087,1.1413,"(1.1087, 1.1413)"
SE,10,1.003,0.9982,1.0078,"(0.9982, 1.0078)"
SK,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)"
UK,10,1.073,1.0572,1.0888,"(1.0572, 1.0888)"
