country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,5.0468,3.3405,6.753,"(3.3405, 6.7530)"
BE,10,4.7279,3.2741,6.1817,"(3.2741, 6.1817)"
BG,10,3.7427,2.2931,5.1923,"(2.2931, 5.1923)"
CH,10,1.6886,1.3101,2.0672,"(1.3101, 2.0672)"
CZ,9,4.0053,1.4143,6.5963,"(1.4143, 6.5963)"
DE,10,1.9747,1.6206,2.3288,"(1.6206, 2.3288)"
DK,10,3.8818,2.5193,5.2444,"(2.5193, 5.2444)"
EE,0,---,---,---,---
EL,10,1.3485,1.3025,1.3944,"(1.3025, 1.3944)"
ES,10,1.3502,1.2785,1.422,"(1.2785, 1.4220)"
FI,0,---,---,---,---
FR,10,1.8484,1.6559,2.0408,"(1.6559, 2.0408)"
HR,6,7.4867,3.2706,11.7028,"(3.2706, 11.7028)"
HU,10,4.1166,2.9996,5.2337,"(2.9996, 5.2337)"
IE,6,26.1054,3.0644,49.1465,"(3.0644, 49.1465)"
IT,10,1.304,1.2246,1.3835,"(1.2246, 1.3835)"
LT,0,---,---,---,---
LU,9,3.4048,2.1939,4.6157,"(2.1939, 4.6157)"
LV,0,---,---,---,---
NL,10,4.1078,2.8262,5.3895,"(2.8262, 5.3895)"
NO,10,3.5064,1.7684,5.2443,"(1.7684, 5.2443)"
PL,10,30.2158,14.6525,45.7791,"(14.6525, 45.7791)"
PT,10,1.3957,1.3382,1.4533,"(1.3382, 1.4533)"
RO,9,6.7737,-0.0133,13.5606,"(-0.0133, 13.5606)"
SE,10,2.4878,1.853,3.1227,"(1.8530, 3.1227)"
SI,6,1.283,0.9909,1.575,"(0.9909, 1.5750)"
SK,10,1.0474,1.0325,1.0623,"(1.0325, 1.0623)"
UK,10,3.2682,2.7867,3.7498,"(2.7867, 3.7498)"
