country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,2.6014,2.4713,2.7315,"(2.4713, 2.7315)"
BE,10,1.4559,1.2868,1.6249,"(1.2868, 1.6249)"
BG,10,1.6133,1.5099,1.7167,"(1.5099, 1.7167)"
CH,10,1.1406,1.1154,1.1657,"(1.1154, 1.1657)"
CZ,10,1.681,1.5119,1.8501,"(1.5119, 1.8501)"
DE,10,1.9902,1.6368,2.3436,"(1.6368, 2.3436)"
DK,10,1.4253,0.9476,1.903,"(0.9476, 1.9030)"
EE,10,1.0121,1.0078,1.0163,"(1.0078, 1.0163)"
EL,10,1.331,1.2679,1.3941,"(1.2679, 1.3941)"
ES,10,1.5057,1.4374,1.574,"(1.4374, 1.5740)"
FI,10,1.0049,1.0016,1.0082,"(1.0016, 1.0082)"
FR,10,1.3052,1.2267,1.3837,"(1.2267, 1.3837)"
HR,10,2.8229,2.2939,3.3519,"(2.2939, 3.3519)"
HU,10,3.3326,3.066,3.5991,"(3.0660, 3.5991)"
IE,10,1.0001,1.0,1.0001,"(1.0000, 1.0001)"
IT,10,1.1759,1.1433,1.2085,"(1.1433, 1.2085)"
LT,10,2.6895,0.6463,4.7328,"(0.6463, 4.7328)"
LU,10,3.1952,2.4492,3.9411,"(2.4492, 3.9411)"
LV,10,1.0337,0.9785,1.0889,"(0.9785, 1.0889)"
NL,10,1.2249,1.1308,1.3189,"(1.1308, 1.3189)"
NO,10,1.0039,1.002,1.0057,"(1.0020, 1.0057)"
PL,10,1.6413,0.3897,2.8929,"(0.3897, 2.8929)"
PT,10,1.6763,1.5973,1.7553,"(1.5973, 1.7553)"
RO,10,1.9453,1.7024,2.1882,"(1.7024, 2.1882)"
SE,10,1.0195,1.0035,1.0355,"(1.0035, 1.0355)"
SI,10,1.0186,1.0068,1.0305,"(1.0068, 1.0305)"
SK,10,1.0039,0.9962,1.0117,"(0.9962, 1.0117)"
UK,10,1.0682,1.0372,1.0993,"(1.0372, 1.0993)"
