tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.0100,332,PL,10,15.2225,7.7300,22.7150,0.0000,False,False,-100.0000
0.0100,332,PT,10,1.5703,1.4681,1.6725,1.5576,False,True,-0.8088
0.0100,332,RO,10,2.7794,2.4994,3.0594,3.9952,False,False,43.7433
0.0100,332,SE,10,8.5387,-0.3479,17.4252,0.0000,False,True,-100.0000
0.0100,332,SI,10,1.2463,1.0909,1.4016,0.0000,False,False,-100.0000
0.0100,332,SK,10,1.0281,1.0155,1.0407,1.0186,False,True,-0.9240
0.0100,332,UK,10,5.8860,0.0190,11.7529,0.0000,False,False,-100.0000
0.0100,362,AT,10,3.7690,2.8705,4.6675,7.8668,False,False,108.7238
0.0100,362,BE,10,9.5646,-2.4916,21.6208,0.0000,False,True,-100.0000
0.0100,362,BG,10,2.5151,1.9022,3.1279,3.1661,False,False,25.8837
0.0100,362,CH,10,1.3730,1.1621,1.5839,1.6497,False,False,20.1529
0.0100,362,CZ,10,4.0528,1.8936,6.2120,0.0000,False,False,-100.0000
0.0100,362,DE,10,67.5427,-14.1484,149.2338,0.0000,False,True,-100.0000
0.0100,362,DK,10,0.5254,-0.2837,1.3344,0.0000,False,True,-100.0000
0.0100,362,EE,10,0.1000,-0.1262,0.3262,0.0000,False,True,-100.0000
0.0100,362,EL,10,1.3670,1.2726,1.4614,1.4283,False,True,4.4843
0.0100,362,ES,10,1.5259,1.3551,1.6968,1.5124,False,True,-0.8847
0.0100,362,FI,10,0.2287,-0.1184,0.5759,0.0000,False,True,-100.0000
0.0100,362,FR,10,2.4577,2.1231,2.7924,2.3979,False,True,-2.4332
0.0100,362,HR,10,4.9849,3.9974,5.9724,6.9160,False,False,38.7390
0.0100,362,HU,10,22.2271,-11.5784,56.0326,21461598.8473,True,False,
0.0100,362,IE,10,0.8016,0.4994,1.1038,0.0000,False,False,-100.0000
0.0100,362,IT,10,1.2240,1.1613,1.2867,1.3614,False,False,11.2255
0.0100,362,LT,10,0.3286,-0.4148,1.0720,0.0000,False,True,-100.0000
0.0100,362,LU,10,0.0000,,,0.0000,False,False,
0.0100,362,LV,10,0.0000,,,0.0000,False,False,
0.0100,362,NL,10,5.4609,1.0496,9.8722,0.0000,False,False,-100.0000
0.0100,362,NO,10,1.0310,1.0116,1.0504,1.0992,False,False,6.6149
0.0100,362,PL,10,22.8399,0.6687,45.0112,0.0000,False,False,-100.0000
0.0100,362,PT,10,1.4847,1.3975,1.5718,1.3379,False,False,-9.8875
0.0100,362,RO,10,2.4016,2.1071,2.6960,2.9818,False,False,24.1589
0.0100,362,SE,10,0.0000,,,0.0000,False,False,
0.0100,362,SI,10,2.5725,-0.4197,5.5647,0.0000,False,True,-100.0000
0.0100,362,SK,10,1.0511,1.0299,1.0722,0.0000,False,False,-100.0000
0.0100,362,UK,10,306.9434,-381.4489,995.3357,605.5889,True,False,
0.0500,271,AT,10,3.4918,2.7256,4.2580,3.9126,False,True,12.0511
0.0500,271,BE,10,3.1003,2.5493,3.6513,2.0976,False,False,-32.3420
0.0500,271,BG,10,2.1722,1.8879,2.4565,2.3144,False,True,6.5464
0.0500,271,CH,10,1.2771,1.1563,1.3980,1.1831,False,True,-7.3604
0.0500,271,CZ,10,1.5933,1.3583,1.8283,1.6276,False,True,2.1528
0.0500,271,DE,10,2.0233,1.7697,2.2768,1.5701,False,False,-22.3991
0.0500,271,DK,10,3.2363,2.7143,3.7584,3.0242,False,True,-6.5538
0.0500,271,EE,10,8.0980,4.5415,11.6545,598611.5360,True,False,
0.0500,271,EL,10,1.3501,1.3069,1.3932,1.3437,False,True,-0.4740
0.0500,271,ES,10,1.3858,1.3216,1.4500,1.3482,False,True,-2.7132
0.0500,271,FI,10,17.8931,0.6516,35.1345,1123481.1129,True,False,
0.0500,271,FR,10,1.7846,1.6548,1.9144,1.8171,False,True,1.8211
0.0500,271,HR,10,4.5530,3.5726,5.5334,3.5972,False,True,-20.9928
0.0500,271,HU,10,2.8838,2.5037,3.2638,3.3705,False,False,16.8770
0.0500,271,IE,10,3.1796,1.0673,5.2919,8.4012,False,False,164.2219
0.0500,271,IT,10,1.2696,1.2305,1.3087,1.3195,False,False,3.9304
0.0500,271,LT,10,41.6874,-2.3877,85.7626,11773548.0091,True,False,
0.0500,271,LU,10,2.4061,2.0385,2.7738,1.6769,False,False,-30.3063
0.0500,271,LV,10,2.0568,1.3529,2.7608,976223.1135,True,False,
0.0500,271,NL,10,3.5563,3.1789,3.9337,2.6494,False,False,-25.5012
0.0500,271,NO,10,1.0973,1.0683,1.1262,1.1043,False,True,0.6379
0.0500,271,PL,10,9.5161,5.9919,13.0403,8.8995,False,True,-6.4795
0.0500,271,PT,10,1.4530,1.3963,1.5097,1.4001,False,True,-3.6407
0.0500,271,RO,10,2.9349,2.4739,3.3959,2.1025,False,False,-28.3621
0.0500,271,SE,10,2.6487,2.2730,3.0245,2.0698,False,False,-21.8560
0.0500,271,SI,10,1.0234,1.0083,1.0385,1.0058,False,False,-1.7198
0.0500,271,SK,10,1.0171,1.0118,1.0224,1.0005,False,False,-1.6321
0.0500,271,UK,10,2.6998,2.4818,2.9178,2.7744,False,True,2.7632
0.0500,301,AT,10,2.7298,2.3322,3.1274,3.1729,False,False,16.2320
0.0500,301,BE,10,3.4603,2.9824,3.9381,3.4682,False,True,0.2283
0.0500,301,BG,10,2.3890,2.0037,2.7744,2.4841,False,True,3.9807
0.0500,301,CH,10,1.2134,1.1593,1.2674,1.2219,False,True,0.7005
0.0500,301,CZ,10,1.5474,1.4000,1.6948,1.3695,False,False,-11.4967
0.0500,301,DE,10,2.3222,2.0465,2.5979,2.8588,False,False,23.1074
0.0500,301,DK,10,8.0734,6.2621,9.8847,10.0213,False,False,24.1274
0.0500,301,EE,10,6.6453,4.4952,8.7954,44.7124,False,False,572.8425
0.0500,301,EL,10,1.2485,1.2129,1.2841,1.2554,False,True,0.5527
0.0500,301,ES,10,1.4642,1.3840,1.5445,1.4262,False,True,-2.5953
0.0500,301,FI,10,8.1461,4.9941,11.2981,104.8488,False,False,1187.1043
0.0500,301,FR,10,1.8945,1.7748,2.0142,2.1891,False,False,15.5503
0.0500,301,HR,10,4.3679,3.5184,5.2173,5.2362,False,False,19.8791
0.0500,301,HU,10,3.1706,2.6195,3.7217,3.8041,False,False,19.9804
0.0500,301,IE,10,2.2069,1.5058,2.9079,9.1647,False,False,315.2748
0.0500,301,IT,10,1.3782,1.3141,1.4424,1.4118,False,True,2.4380
0.0500,301,LT,10,9.7178,6.5482,12.8875,12.9467,False,False,33.2267
0.0500,301,LU,10,2.8995,2.3110,3.4880,2.0510,False,False,-29.2637
0.0500,301,LV,10,1.8489,1.3548,2.3430,6.9464,False,False,275.7045
0.0500,301,NL,10,6.3529,5.1753,7.5305,5.8928,False,True,-7.2424
0.0500,301,NO,10,1.0666,1.0210,1.1122,1.0136,False,False,-4.9691
0.0500,301,PL,10,6.3198,5.3511,7.2886,8.5606,False,False,35.4568
0.0500,301,PT,10,1.6089,1.4822,1.7356,1.5296,False,True,-4.9288
0.0500,301,RO,10,2.3869,2.2654,2.5084,2.5271,False,False,5.8737
0.0500,301,SE,10,6.8082,4.6507,8.9656,6.7433,False,True,-0.9533
0.0500,301,SI,10,1.0312,0.9858,1.0765,1.0761,False,True,4.3542
0.0500,301,SK,10,1.0138,1.0091,1.0184,1.0131,False,True,-0.0690
0.0500,301,UK,10,2.5449,2.0299,3.0599,2.7437,False,True,7.8117
0.0500,332,AT,10,3.2369,2.7043,3.7694,4.8122,False,False,48.6669
0.0500,332,BE,10,5.4479,4.7040,6.1918,6.4860,False,False,19.0550
0.0500,332,BG,10,2.1749,1.8960,2.4538,2.3643,False,True,8.7084
0.0500,332,CH,10,1.1488,1.1066,1.1910,1.1466,False,True,-0.1915
0.0500,332,CZ,10,1.9588,1.6503,2.2672,1.6320,False,False,-16.6837
0.0500,332,DE,10,3.4681,2.8735,4.0627,3.7194,False,True,7.2460
0.0500,332,DK,10,7.8899,4.6939,11.0858,8.2552,False,True,4.6300
0.0500,332,EE,10,7.5332,4.9765,10.0900,0.0000,False,False,-100.0000
0.0500,332,EL,10,1.3928,1.3158,1.4697,1.4124,False,True,1.4072
0.0500,332,ES,10,1.4468,1.3501,1.5435,1.3919,False,True,-3.7946
0.0500,332,FI,10,13.2324,10.1948,16.2700,3906344.8333,True,False,
0.0500,332,FR,10,1.7343,1.5942,1.8744,1.6168,False,True,-6.7751
0.0500,332,HR,10,3.4656,2.6263,4.3049,3.5575,False,True,2.6518
0.0500,332,HU,10,2.5571,2.2960,2.8182,2.6187,False,True,2.4090
0.0500,332,IE,10,5.8355,2.3159,9.3550,0.0000,False,False,-100.0000
0.0500,332,IT,10,1.4637,1.3970,1.5304,1.4041,False,True,-4.0719
0.0500,332,LT,10,10.8321,7.1637,14.5004,11.5721,False,True,6.8315
0.0500,332,LU,10,3.9190,2.5919,5.2462,4.2219,False,True,7.7290
0.0500,332,LV,10,1.8936,1.4171,2.3701,7.3520,False,False,288.2552
0.0500,332,NL,10,11.3890,7.1085,15.6695,8.6000,False,True,-24.4885
0.0500,332,NO,10,1.0207,1.0133,1.0281,1.0220,False,True,0.1274
0.0500,332,PL,10,5.6096,4.6046,6.6146,6.2366,False,True,11.1773
0.0500,332,PT,10,1.6566,1.5709,1.7422,1.6537,False,True,-0.1751
0.0500,332,RO,10,2.4414,2.2432,2.6395,2.8126,False,False,15.2044
0.0500,332,SE,10,10.4935,8.1038,12.8832,8.4935,False,True,-19.0594
0.0500,332,SI,10,1.0338,1.0067,1.0609,1.0453,False,True,1.1124
0.0500,332,SK,10,1.0064,1.0013,1.0115,1.0049,False,True,-0.1490
0.0500,332,UK,10,4.7276,3.3053,6.1500,5.4051,False,True,14.3307
0.0500,362,AT,10,2.7071,2.4130,3.0012,3.1284,False,False,15.5628
0.0500,362,BE,10,3.2049,2.3847,4.0252,5.8293,False,False,81.8871
0.0500,362,BG,10,1.8101,1.6051,2.0150,2.0544,False,False,13.4965
0.0500,362,CH,10,1.1949,1.1408,1.2490,1.2094,False,True,1.2135
