country,95% CI for ratio
AT,"(1.46, 1.58)"
BE,"(1.58, 1.72)"
BG,"(1.23, 1.33)"
CH,"(1.05, 1.07)"
CZ,"(1.27, 1.32)"
DE,"(1.64, 1.99)"
DK,"(1.52, 1.64)"
EE,"(1.01, 1.01)"
ES,"(1.33, 1.39)"
FI,"(1.03, 1.05)"
FR,"(1.56, 1.70)"
EL,"(1.25, 1.30)"
HR,"(1.04, 1.06)"
HU,"(1.04, 1.05)"
IE,"(1.13, 1.16)"
IT,"(1.39, 1.49)"
LT,"(1.09, 1.12)"
LU,"(1.05, 1.08)"
LV,"(1.00, 1.01)"
NL,"(1.63, 1.80)"
NO,"(1.01, 1.03)"
PL,"(1.38, 1.48)"
PT,"(1.29, 1.41)"
RO,"(1.53, 1.74)"
SI,"(1.00, 1.01)"
SK,"(1.00, 1.01)"
SE,"(1.33, 1.40)"
UK,"(1.86, 2.11)"
