country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,3.4918,2.7256,4.258,"(2.7256, 4.2580)",271
BE,10,3.1003,2.5493,3.6513,"(2.5493, 3.6513)",271
BG,10,2.1722,1.8879,2.4565,"(1.8879, 2.4565)",271
CH,10,1.2771,1.1563,1.398,"(1.1563, 1.3980)",271
CZ,10,1.5933,1.3583,1.8283,"(1.3583, 1.8283)",271
DE,10,2.0233,1.7697,2.2768,"(1.7697, 2.2768)",271
DK,10,3.2363,2.7143,3.7584,"(2.7143, 3.7584)",271
EE,10,8.098,4.5415,11.6545,"(4.5415, 11.6545)",271
EL,10,1.3501,1.3069,1.3932,"(1.3069, 1.3932)",271
ES,10,1.3858,1.3216,1.45,"(1.3216, 1.4500)",271
FI,10,17.8931,0.6516,35.1345,"(0.6516, 35.1345)",271
FR,10,1.7846,1.6548,1.9144,"(1.6548, 1.9144)",271
HR,10,4.553,3.5726,5.5334,"(3.5726, 5.5334)",271
HU,10,2.8838,2.5037,3.2638,"(2.5037, 3.2638)",271
IE,10,3.1796,1.0673,5.2919,"(1.0673, 5.2919)",271
IT,10,1.2696,1.2305,1.3087,"(1.2305, 1.3087)",271
LT,10,41.6874,-2.3877,85.7626,"(-2.3877, 85.7626)",271
LU,10,2.4061,2.0385,2.7738,"(2.0385, 2.7738)",271
LV,10,2.0568,1.3529,2.7608,"(1.3529, 2.7608)",271
NL,10,3.5563,3.1789,3.9337,"(3.1789, 3.9337)",271
NO,10,1.0973,1.0683,1.1262,"(1.0683, 1.1262)",271
PL,10,9.5161,5.9919,13.0403,"(5.9919, 13.0403)",271
PT,10,1.453,1.3963,1.5097,"(1.3963, 1.5097)",271
RO,10,2.9349,2.4739,3.3959,"(2.4739, 3.3959)",271
SE,10,2.6487,2.273,3.0245,"(2.2730, 3.0245)",271
SI,10,1.0234,1.0083,1.0385,"(1.0083, 1.0385)",271
SK,10,1.0171,1.0118,1.0224,"(1.0118, 1.0224)",271
UK,10,2.6998,2.4818,2.9178,"(2.4818, 2.9178)",271
AT,10,2.7298,2.3322,3.1274,"(2.3322, 3.1274)",301
BE,10,3.4603,2.9824,3.9381,"(2.9824, 3.9381)",301
BG,10,2.389,2.0037,2.7744,"(2.0037, 2.7744)",301
CH,10,1.2134,1.1593,1.2674,"(1.1593, 1.2674)",301
CZ,10,1.5474,1.4,1.6948,"(1.4000, 1.6948)",301
DE,10,2.3222,2.0465,2.5979,"(2.0465, 2.5979)",301
DK,10,8.0734,6.2621,9.8847,"(6.2621, 9.8847)",301
EE,10,6.6453,4.4952,8.7954,"(4.4952, 8.7954)",301
EL,10,1.2485,1.2129,1.2841,"(1.2129, 1.2841)",301
ES,10,1.4642,1.384,1.5445,"(1.3840, 1.5445)",301
FI,10,8.1461,4.9941,11.2981,"(4.9941, 11.2981)",301
FR,10,1.8945,1.7748,2.0142,"(1.7748, 2.0142)",301
HR,10,4.3679,3.5184,5.2173,"(3.5184, 5.2173)",301
HU,10,3.1706,2.6195,3.7217,"(2.6195, 3.7217)",301
IE,10,2.2069,1.5058,2.9079,"(1.5058, 2.9079)",301
IT,10,1.3782,1.3141,1.4424,"(1.3141, 1.4424)",301
LT,10,9.7178,6.5482,12.8875,"(6.5482, 12.8875)",301
LU,10,2.8995,2.311,3.488,"(2.3110, 3.4880)",301
LV,10,1.8489,1.3548,2.343,"(1.3548, 2.3430)",301
NL,10,6.3529,5.1753,7.5305,"(5.1753, 7.5305)",301
NO,10,1.0666,1.021,1.1122,"(1.0210, 1.1122)",301
PL,10,6.3198,5.3511,7.2886,"(5.3511, 7.2886)",301
PT,10,1.6089,1.4822,1.7356,"(1.4822, 1.7356)",301
RO,10,2.3869,2.2654,2.5084,"(2.2654, 2.5084)",301
SE,10,6.8082,4.6507,8.9656,"(4.6507, 8.9656)",301
SI,10,1.0312,0.9858,1.0765,"(0.9858, 1.0765)",301
SK,10,1.0138,1.0091,1.0184,"(1.0091, 1.0184)",301
UK,10,2.5449,2.0299,3.0599,"(2.0299, 3.0599)",301
AT,10,3.2369,2.7043,3.7694,"(2.7043, 3.7694)",332
BE,10,5.4479,4.704,6.1918,"(4.7040, 6.1918)",332
BG,10,2.1749,1.896,2.4538,"(1.8960, 2.4538)",332
CH,10,1.1488,1.1066,1.191,"(1.1066, 1.1910)",332
CZ,10,1.9588,1.6503,2.2672,"(1.6503, 2.2672)",332
DE,10,3.4681,2.8735,4.0627,"(2.8735, 4.0627)",332
DK,10,7.8899,4.6939,11.0858,"(4.6939, 11.0858)",332
EE,10,7.5332,4.9765,10.09,"(4.9765, 10.0900)",332
EL,10,1.3928,1.3158,1.4697,"(1.3158, 1.4697)",332
ES,10,1.4468,1.3501,1.5435,"(1.3501, 1.5435)",332
FI,10,13.2324,10.1948,16.27,"(10.1948, 16.2700)",332
FR,10,1.7343,1.5942,1.8744,"(1.5942, 1.8744)",332
HR,10,3.4656,2.6263,4.3049,"(2.6263, 4.3049)",332
HU,10,2.5571,2.296,2.8182,"(2.2960, 2.8182)",332
IE,10,5.8355,2.3159,9.355,"(2.3159, 9.3550)",332
IT,10,1.4637,1.397,1.5304,"(1.3970, 1.5304)",332
LT,10,10.8321,7.1637,14.5004,"(7.1637, 14.5004)",332
LU,10,3.919,2.5919,5.2462,"(2.5919, 5.2462)",332
LV,10,1.8936,1.4171,2.3701,"(1.4171, 2.3701)",332
NL,10,11.389,7.1085,15.6695,"(7.1085, 15.6695)",332
NO,10,1.0207,1.0133,1.0281,"(1.0133, 1.0281)",332
PL,10,5.6096,4.6046,6.6146,"(4.6046, 6.6146)",332
PT,10,1.6566,1.5709,1.7422,"(1.5709, 1.7422)",332
RO,10,2.4414,2.2432,2.6395,"(2.2432, 2.6395)",332
SE,10,10.4935,8.1038,12.8832,"(8.1038, 12.8832)",332
SI,10,1.0338,1.0067,1.0609,"(1.0067, 1.0609)",332
SK,10,1.0064,1.0013,1.0115,"(1.0013, 1.0115)",332
UK,10,4.7276,3.3053,6.15,"(3.3053, 6.1500)",332
AT,10,2.7071,2.413,3.0012,"(2.4130, 3.0012)",362
BE,10,3.2049,2.3847,4.0252,"(2.3847, 4.0252)",362
