country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,2.8871,2.5125,3.2618,"(2.5125, 3.2618)"
BE,10,3.6952,3.3694,4.021,"(3.3694, 4.0210)"
BG,10,1.8878,1.7412,2.0343,"(1.7412, 2.0343)"
CH,10,1.1179,1.0894,1.1463,"(1.0894, 1.1463)"
CZ,10,1.6646,1.5018,1.8275,"(1.5018, 1.8275)"
DE,10,2.9982,2.645,3.3514,"(2.6450, 3.3514)"
DK,10,4.0384,3.0487,5.0281,"(3.0487, 5.0281)"
EE,10,2.3357,0.9974,3.674,"(0.9974, 3.6740)"
EL,10,1.3605,1.2898,1.4313,"(1.2898, 1.4313)"
ES,10,1.4764,1.4051,1.5477,"(1.4051, 1.5477)"
FI,10,2.0726,0.0068,4.1385,"(0.0068, 4.1385)"
FR,10,1.7476,1.6176,1.8776,"(1.6176, 1.8776)"
HR,10,2.9875,2.4822,3.4929,"(2.4822, 3.4929)"
HU,10,2.4136,2.1936,2.6335,"(2.1936, 2.6335)"
IE,10,0.9919,0.9838,1.0,"(0.9838, 1.0000)"
IT,10,1.4475,1.3828,1.5122,"(1.3828, 1.5122)"
LT,10,6.5909,5.3119,7.8698,"(5.3119, 7.8698)"
LU,10,2.5788,2.1709,2.9868,"(2.1709, 2.9868)"
LV,10,1.9186,1.2593,2.5779,"(1.2593, 2.5779)"
NL,10,5.2446,2.7139,7.7753,"(2.7139, 7.7753)"
NO,10,1.0091,1.0056,1.0126,"(1.0056, 1.0126)"
PL,10,4.8605,4.3287,5.3924,"(4.3287, 5.3924)"
PT,10,1.6006,1.5033,1.698,"(1.5033, 1.6980)"
RO,10,2.1527,1.98,2.3255,"(1.9800, 2.3255)"
SE,10,4.5008,2.0823,6.9194,"(2.0823, 6.9194)"
SI,10,1.0242,1.0043,1.0442,"(1.0043, 1.0442)"
SK,10,1.0005,0.9964,1.0045,"(0.9964, 1.0045)"
UK,10,2.4467,1.5762,3.3172,"(1.5762, 3.3172)"
